strain	accession	clade	description	original_date	date	date_precision
JX258672.1	JX258672.1	G2a	Porcine epidemic diarrhea virus strain FQ/FJ/2012 spike protein gene, complete cds	2012	2012-07-01	year
JX435298.1	JX435298.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2011-3 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JX435299.1	JX435299.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2012-1 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX435300.1	JX435300.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2012-2 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX435301.1	JX435301.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-4 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JX435302.1	JX435302.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-1 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX435303.1	JX435303.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-2 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX435304.1	JX435304.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-3 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX435305.1	JX435305.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-4 spike protein (S) mRNA, complete cds	2012	2012-07-01	year
JX501317.1	JX501317.1	G2a	Porcine epidemic diarrhea virus isolate CH/CY/12 spike glycoprotein gene, complete cds	2012	2012-07-01	year
JX501319.1	JX501319.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBXX2/11 spike glycoprotein gene, complete cds	2011	2011-07-01	year
JX501320.1	JX501320.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBXX3/11 spike glycoprotein gene, complete cds	2011	2011-07-01	year
JX501321.1	JX501321.1	G2a	Porcine epidemic diarrhea virus isolate CH/TY/12 spike glycoprotein gene, complete cds	2012	2012-07-01	year
JX501322.1	JX501322.1	G2a	Porcine epidemic diarrhea virus isolate CH/XC/12 spike glycoprotein gene, complete cds	2012	2012-07-01	year
JX501323.1	JX501323.1	G2a	Porcine epidemic diarrhea virus isolate CH/XCYL/11 spike glycoprotein gene, complete cds	2011	2011-07-01	year
JX512907.1	JX512907.1	G2a	Porcine epidemic diarrhea virus strain HLJ-2012 spike protein gene, complete cds	2012	2012-07-01	year
KC196276.1	KC196276.1	G2a	Porcine epidemic diarrhea virus strain CH/ZMDZY/11, complete genome	May-2011	2011-05-15	month
KC210147.1	KC210147.1	G2a	Porcine epidemic diarrhea virus strain JS-HZ2012, complete genome	2012	2012-07-01	year
KC242897.1	KC242897.1	G2a	Porcine epidemic diarrhea virus isolate FJZZ1-2011 spike protein gene, complete cds	2011	2011-07-01	year
KC242898.1	KC242898.1	G2a	Porcine epidemic diarrhea virus isolate HeN12-20122 spike protein gene, complete cds	Feb-2012	2012-02-15	month
KC242899.1	KC242899.1	G2a	Porcine epidemic diarrhea virus isolate HB1-20122 spike protein gene, complete cds	Feb-2012	2012-02-15	month
KC242900.1	KC242900.1	G2a	Porcine epidemic diarrhea virus isolate HB2-20122 spike protein gene, complete cds	Feb-2012	2012-02-15	month
KC242901.1	KC242901.1	G2a	Porcine epidemic diarrhea virus isolate AH2-20123 spike protein gene, complete cds	Mar-2012	2012-03-15	month
KC242902.1	KC242902.1	G2a	Porcine epidemic diarrhea virus isolate HB3-20123 spike protein gene, complete cds	Mar-2012	2012-03-15	month
KC242903.1	KC242903.1	G2a	Porcine epidemic diarrhea virus isolate ZJ17-20125 spike protein gene, complete cds	May-2012	2012-05-15	month
KC242904.1	KC242904.1	G2a	Porcine epidemic diarrhea virus isolate YN2-20127 spike protein gene, complete cds	Jul-2012	2012-07-15	month
KC242905.1	KC242905.1	G2a	Porcine epidemic diarrhea virus isolate FJ5-20128 spike protein gene, complete cds	Aug-2012	2012-08-15	month
KC242906.1	KC242906.1	G2a	Porcine epidemic diarrhea virus isolate FJZZ9-20128 spike protein gene, complete cds	Aug-2012	2012-08-15	month
KC242907.1	KC242907.1	G2a	Porcine epidemic diarrhea virus isolate JX4-20129 spike protein gene, complete cds	Sep-2012	2012-09-15	month
KC242908.1	KC242908.1	G2a	Porcine epidemic diarrhea virus isolate HN4-20129 spike protein gene, complete cds	Sep-2012	2012-09-15	month
KC242909.1	KC242909.1	G2a	Porcine epidemic diarrhea virus isolate GD5-20129 spike protein gene, complete cds	Sep-2012	2012-09-15	month
KC242910.1	KC242910.1	G2a	Porcine epidemic diarrhea virus isolate GD8-20129 spike protein gene, complete cds	Sep-2012	2012-09-15	month
KC242911.1	KC242911.1	G2a	Porcine epidemic diarrhea virus isolate HN6-201211 spike protein gene, complete cds	Nov-2012	2012-11-15	month
KC242912.1	KC242912.1	G2a	Porcine epidemic diarrhea virus isolate HN8-201211 spike protein gene, complete cds	Nov-2012	2012-11-15	month
KC787537.1	KC787537.1	G2a	Porcine epidemic diarrhea virus isolate CH-DLC-01-2013 spike protein gene, complete cds	2013	2013-07-01	year
KC787538.1	KC787538.1	G2a	Porcine epidemic diarrhea virus isolate CH-GGC-11-2012 spike protein gene, complete cds	2012	2012-07-01	year
KC787540.1	KC787540.1	G2a	Porcine epidemic diarrhea virus isolate CH-HGC-01-2013 spike protein gene, complete cds	2013	2013-07-01	year
KC787541.1	KC787541.1	G2a	Porcine epidemic diarrhea virus isolate CH-LNC-01-2012 spike protein gene, partial cds	2012	2012-07-01	year
KC787542.1	KC787542.1	G2a	Porcine epidemic diarrhea virus isolate CH-SBC-03-2013 spike protein gene, complete cds	2013	2013-07-01	year
KC787544.1	KC787544.1	G2a	Porcine epidemic diarrhea virus isolate CH-YGC-12-2012 spike protein gene, partial cds	2012	2012-07-01	year
KC787545.1	KC787545.1	G2a	Porcine epidemic diarrhea virus isolate CH-YXC-01-2013 spike protein gene, partial cds	2013	2013-07-01	year
KF294254.1	KF294254.1	G2a	Porcine epidemic diarrhea virus isolate HZXS-1 spike protein (S) gene, complete cds	2013	2013-07-01	year
KF294255.1	KF294255.1	G2a	Porcine epidemic diarrhea virus isolate HZXS-2 spike protein (S) gene, complete cds	2013	2013-07-01	year
KF468755.1	KF468755.1	G2a	Porcine epidemic diarrhea virus isolate XS2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KF760557.2	KF760557.2	G2a	Porcine epidemic diarrhea virus strain CH/JX-1/2013, complete genome	Mar-2013	2013-03-15	month
KJ020932.1	KJ020932.1	G2a	Porcine epidemic diarrhea virus isolate CHYJ130330, complete genome	Mar-2013	2013-03-15	month
KJ526096.1	KJ526096.1	G2a	Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome	Apr-2013	2013-04-15	month
KJ646578.1	KJ646578.1	G2a	Porcine epidemic diarrhea virus strain FJ-ZP 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646579.1	KJ646579.1	G2a	Porcine epidemic diarrhea virus strain FJ-CL 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646580.1	KJ646580.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ 2014 spike protein (S) gene, complete cds	2014	2014-07-01	year
KJ646581.1	KJ646581.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ1 2012 spike protein (S) gene, complete cds	2012	2012-07-01	year
KJ646582.1	KJ646582.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ2 2012 spike protein (S) gene, complete cds	2012	2012-07-01	year
KJ646583.1	KJ646583.1	G2a	Porcine epidemic diarrhea virus strain FJ-LY 2012 spike protein (S) gene, complete cds	2012	2012-07-01	year
KJ646584.1	KJ646584.1	G2a	Porcine epidemic diarrhea virus strain FJ-LY 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646585.1	KJ646585.1	G2a	Porcine epidemic diarrhea virus strain FJ-ND 2012 spike protein (S) gene, complete cds	2012	2012-07-01	year
KJ646586.1	KJ646586.1	G2a	Porcine epidemic diarrhea virus strain FJ-ND 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646587.1	KJ646587.1	G2a	Porcine epidemic diarrhea virus strain FJ-PT 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646588.1	KJ646588.1	G2a	Porcine epidemic diarrhea virus strain FJ-QK 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646589.1	KJ646589.1	G2a	Porcine epidemic diarrhea virus strain FJ-QZ 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646590.1	KJ646590.1	G2a	Porcine epidemic diarrhea virus strain FJ-YX 2013 spike protein (S) gene, complete cds	2013	2013-07-01	year
KJ646591.1	KJ646591.1	G2a	Porcine epidemic diarrhea virus strain FJ-ZP 2014 spike protein (S) gene, complete cds	2014	2014-07-01	year
KJ777677.1	KJ777677.1	G2a	Porcine epidemic diarrhea virus strain LZW isolate FGE_20140427, complete genome	Feb-2012	2012-02-15	month
KJ777678.1	KJ777678.1	G2a	Porcine epidemic diarrhea virus strain LZW isolate CPGEN_20140427, complete genome	Feb-2012	2012-02-15	month
KM242131.1	KM242131.1	G2a	Porcine epidemic diarrhea virus strain CH/GDZQ/2014, complete genome	Mar-2014	2014-03-15	month
KM287429.1	KM287429.1	G2a	Porcine epidemic diarrhea virus strain XJ-DB2 spike protein gene, complete cds	2013	2013-07-01	year
KM406179.1	KM406179.1	G2a	Porcine epidemic diarrhea virus strain MY1402 S protein (S) gene, complete cds	2014	2014-07-01	year
KM406180.1	KM406180.1	G2a	Porcine epidemic diarrhea virus strain DY1403 S protein (S) gene, complete cds	2014	2014-07-01	year
KM406181.1	KM406181.1	G2a	Porcine epidemic diarrhea virus strain SH1404 S protein (S) gene, complete cds	2014	2014-07-01	year
KM406182.1	KM406182.1	G2a	Porcine epidemic diarrhea virus strain MX1405 S protein (S) gene, complete cds	2014	2014-07-01	year
KM406183.1	KM406183.1	G2a	Porcine epidemic diarrhea virus strain PZ1406 S protein (S) gene, complete cds	2014	2014-07-01	year
KM406184.1	KM406184.1	G2a	Porcine epidemic diarrhea virus strain PJ1407 S protein (S) gene, complete cds	2014	2014-07-01	year
KM609203.1	KM609203.1	G2a	Porcine epidemic diarrhea virus strain PEDV-1C, complete genome	Mar-2012	2012-03-15	month
KM609207.1	KM609207.1	G2a	Porcine epidemic diarrhea virus strain PEDV-14, complete genome	Apr-2011	2011-04-15	month
KM609208.1	KM609208.1	G2a	Porcine epidemic diarrhea virus strain PEDV-15F, complete genome	Mar-2012	2012-03-15	month
KM609209.1	KM609209.1	G2a	Porcine epidemic diarrhea virus strain PEDV-CHZ, complete genome	Mar-2013	2013-03-15	month
KM609210.1	KM609210.1	G2a	Porcine epidemic diarrhea virus strain PEDV-LY, complete genome	Jan-2014	2014-01-15	month
KM609211.1	KM609211.1	G2a	Porcine epidemic diarrhea virus strain PEDV-LS, complete genome	Jan-2014	2014-01-15	month
KP399601.1	KP399601.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC-09-2014 S protein (S) gene, complete cds	Sep-2014	2014-09-15	month
KP399602.1	KP399602.1	G2a	Porcine epidemic diarrhea virus strain CH-YZC-10-2014 S protein (S) gene, complete cds	Oct-2014	2014-10-15	month
KP399603.1	KP399603.1	G2a	Porcine epidemic diarrhea virus strain CH-YZC-02-2014 S protein (S) gene, complete cds	Feb-2014	2014-02-15	month
KP399604.1	KP399604.1	G2a	Porcine epidemic diarrhea virus strain CH-XSC-04-2014 S protein (S) gene, complete cds	Apr-2014	2014-04-15	month
KP399605.1	KP399605.1	G2a	Porcine epidemic diarrhea virus strain CH-XLC-02-2014 S protein (S) gene, complete cds	Feb-2014	2014-02-15	month
KP399606.1	KP399606.1	G2a	Porcine epidemic diarrhea virus strain CH-STC-09-2014 S protein (S) gene, complete cds	Sep-2014	2014-09-15	month
KP399608.1	KP399608.1	G2a	Porcine epidemic diarrhea virus strain CH-LNC-10-2014 S protein (S) gene, complete cds	Oct-2014	2014-10-15	month
KP399609.1	KP399609.1	G2a	Porcine epidemic diarrhea virus strain CH-JKC-07-2014 S protein (S) gene, complete cds	Jul-2014	2014-07-15	month
KP399610.1	KP399610.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC-06-2013 S protein (S) gene, complete cds	Jun-2013	2013-06-15	month
KP399611.1	KP399611.1	G2a	Porcine epidemic diarrhea virus strain CH-YGC-11-2013 S protein (S) gene, complete cds	Nov-2013	2013-11-15	month
KP399612.1	KP399612.1	G2a	Porcine epidemic diarrhea virus strain CH-XSC-04-2013 S protein (S) gene, complete cds	Apr-2013	2013-04-15	month
KP399613.1	KP399613.1	G2a	Porcine epidemic diarrhea virus strain CH-XNC-04-2013 S protein (S) gene, complete cds	Apr-2013	2013-04-15	month
KP399617.1	KP399617.1	G2a	Porcine epidemic diarrhea virus strain CH-SMC-08-2013 S protein (S) gene, complete cds	Aug-2013	2013-08-15	month
KP399618.1	KP399618.1	G2a	Porcine epidemic diarrhea virus strain CH-SMC-03-2013 S protein (S) gene, complete cds	Mar-2013	2013-03-15	month
KP399620.1	KP399620.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-01-2013 S protein (S) gene, complete cds	Jan-2013	2013-01-15	month
KP399622.1	KP399622.1	G2a	Porcine epidemic diarrhea virus strain CH-LXC-02-2013 S protein (S) gene, complete cds	Feb-2013	2013-02-15	month
KP399623.1	KP399623.1	G2a	Porcine epidemic diarrhea virus strain CH-HSYEC-09-2013 S protein (S) gene, complete cds	Sep-2013	2013-09-15	month
KP399625.1	KP399625.1	G2a	Porcine epidemic diarrhea virus strain CH-HFEC-08-2013 S protein (S) gene, complete cds	Aug-2013	2013-08-15	month
KP399626.1	KP399626.1	G2a	Porcine epidemic diarrhea virus strain CH-HBC-02-2013 S protein (S) gene, complete cds	Feb-2013	2013-02-15	month
KP399627.1	KP399627.1	G2a	Porcine epidemic diarrhea virus strain CH-CWC-10-2013 S protein (S) gene, complete cds	Oct-2013	2013-10-15	month
KP399629.1	KP399629.1	G2a	Porcine epidemic diarrhea virus strain CH-BPKFC-07-2013 S protein (S) gene, complete cds	Jul-2013	2013-07-15	month
KP399630.1	KP399630.1	G2a	Porcine epidemic diarrhea virus strain CH-LNC-12-2012 S protein (S) gene, complete cds	Dec-2012	2012-12-15	month
KP399631.1	KP399631.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC1-12-2011 S protein (S) gene, complete cds	Dec-2011	2011-12-15	month
KP399633.1	KP399633.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-12-2011 S protein (S) gene, complete cds	Dec-2011	2011-12-15	month
KP399634.1	KP399634.1	G2a	Porcine epidemic diarrhea virus strain CH-LCC-02-2011 S protein (S) gene, complete cds	Feb-2011	2011-02-15	month
KP698751.1	KP698751.1	G2a	Porcine epidemic diarrhea virus isolate GD1 spike gene, complete cds	2012	2012-07-01	year
KP698752.2	KP698752.2	G2a	Porcine epidemic diarrhea virus isolate GD2 spike gene, complete cds	2012	2012-07-01	year
KP698753.1	KP698753.1	G2a	Porcine epidemic diarrhea virus isolate GD3 spike gene, complete cds	2012	2012-07-01	year
KP698754.2	KP698754.2	G2a	Porcine epidemic diarrhea virus isolate GD4 spike gene, complete cds	2012	2012-07-01	year
KP698755.2	KP698755.2	G2a	Porcine epidemic diarrhea virus isolate GD5 spike gene, complete cds	2012	2012-07-01	year
KP698756.2	KP698756.2	G2a	Porcine epidemic diarrhea virus isolate GD6 spike gene, complete cds	2012	2012-07-01	year
KP698757.1	KP698757.1	G2a	Porcine epidemic diarrhea virus isolate GD7 spike gene, complete cds	2012	2012-07-01	year
KP698758.1	KP698758.1	G2a	Porcine epidemic diarrhea virus isolate GD8 spike gene, complete cds	2013	2013-07-01	year
KP698762.2	KP698762.2	G2a	Porcine epidemic diarrhea virus isolate GD12 spike gene, complete cds	2013	2013-07-01	year
KP698764.2	KP698764.2	G2a	Porcine epidemic diarrhea virus isolate GD14 spike gene, complete cds	2013	2013-07-01	year
KP698765.2	KP698765.2	G2a	Porcine epidemic diarrhea virus isolate GD15 spike gene, complete cds	2013	2013-07-01	year
KP698766.2	KP698766.2	G2a	Porcine epidemic diarrhea virus isolate GD16 spike gene, complete cds	2014	2014-07-01	year
KP698768.2	KP698768.2	G2a	Porcine epidemic diarrhea virus isolate GD18 spike gene, complete cds	2014	2014-07-01	year
KP698770.1	KP698770.1	G2a	Porcine epidemic diarrhea virus isolate GD20 spike gene, complete cds	2014	2014-07-01	year
KP870114.1	KP870114.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-02/2012 spike protein (S) gene, complete cds	Jul-2012	2012-07-15	month
KP870116.1	KP870116.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-04/2012 spike protein (S) gene, complete cds	Oct-2012	2012-10-15	month
KP870124.1	KP870124.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-14/2013 spike protein (S) gene, complete cds	Apr-2013	2013-04-15	month
KP870126.1	KP870126.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-16/2013 spike protein (S) gene, complete cds	Jul-2013	2013-07-15	month
KP870133.1	KP870133.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-23/2014 spike protein (S) gene, complete cds	Jun-2014	2014-06-15	month
KP870134.1	KP870134.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-24/2014 spike protein (S) gene, complete cds	Jun-2014	2014-06-15	month
KP870135.1	KP870135.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-25/2014 spike protein (S) gene, complete cds	Jul-2014	2014-07-15	month
KP870137.1	KP870137.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-27/2014 spike protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KP870141.1	KP870141.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-09/2013 spike protein (S) gene, partial cds	Jan-2013	2013-01-15	month
KP890336.1	KP890336.1	G2a	Porcine epidemic diarrhea virus strain CH/HNYF/14, complete genome	Dec-2014	2014-12-15	month
KR080551.1	KR080551.1	G2a	Porcine epidemic diarrhea virus isolate HN1303 spike protein (S) gene, complete cds	2013	2013-07-01	year
KR233256.1	KR233256.1	G2a	Porcine epidemic diarrhea virus strain CH/NMG/BT S protein gene, complete cds	2014	2014-07-01	year
KR233257.1	KR233257.1	G2a	Porcine epidemic diarrhea virus strain CH/NMG/BYNE S protein gene, complete cds	2014	2014-07-01	year
KR296663.1	KR296663.1	G2a	Porcine epidemic diarrhea virus strain CH-GGC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR296664.1	KR296664.1	G2a	Porcine epidemic diarrhea virus strain CH-GLC-02-2015 S protein (S) gene, complete cds	Feb-2015	2015-02-15	month
KR296665.1	KR296665.1	G2a	Porcine epidemic diarrhea virus strain CH-GLC-12-2014 S protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KR296668.1	KR296668.1	G2a	Porcine epidemic diarrhea virus strain CH-HSYKFC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR296671.1	KR296671.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-03-2015 S protein (S) gene, complete cds	Mar-2015	2015-03-15	month
KR296672.1	KR296672.1	G2a	Porcine epidemic diarrhea virus strain CH-SFC-12-2014 S protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KR296674.1	KR296674.1	G2a	Porcine epidemic diarrhea virus strain CH-STC-12-2014 S protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KR296675.1	KR296675.1	G2a	Porcine epidemic diarrhea virus strain CH-TPC-12-2014 S protein (S) gene, complete cds	Dec-2014	2014-12-15	month
KR296676.1	KR296676.1	G2a	Porcine epidemic diarrhea virus strain CH-WTC-02-2015 S protein (S) gene, complete cds	Feb-2015	2015-02-15	month
KR296679.1	KR296679.1	G2a	Porcine epidemic diarrhea virus strain CH-ZSC-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR296681.1	KR296681.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWBZb-01-2015 S protein (S) gene, complete cds	Jan-2015	2015-01-15	month
KR732651.1	KR732651.1	G2a	Porcine epidemic diarrhea virus isolate SC-ZY-1 S protein gene, complete cds	2014	2014-07-01	year
KR732652.1	KR732652.1	G2a	Porcine epidemic diarrhea virus isolate SC-ZY-2 S protein gene, complete cds	2014	2014-07-01	year
KR818832.1	KR818832.1	G2a	Porcine epidemic diarrhea virus strain XY2013, complete genome	Feb-2013	2013-02-15	month
KR818833.1	KR818833.1	G2a	Porcine epidemic diarrhea virus strain JSHA2013, complete genome	2013	2013-07-01	year
KT266578.1	KT266578.1	G2a	Porcine epidemic diarrhea virus isolate HB-HA2015 spike glycoprotein gene, complete cds	2015	2015-07-01	year
KT989352.1	KT989352.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNZK-14.12 spike protein gene, complete cds	2015	2015-07-01	year
KT989353.1	KT989353.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-15.4 spike protein gene, complete cds	2015	2015-07-01	year
KT989355.1	KT989355.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNKF-14.8 spike protein gene, complete cds	2015	2015-07-01	year
KT989358.1	KT989358.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-14.11 spike protein gene, complete cds	2015	2015-07-01	year
KT989359.1	KT989359.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-14.9 spike protein gene, complete cds	2015	2015-07-01	year
KT989360.1	KT989360.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-14.8 spike protein gene, complete cds	2015	2015-07-01	year
KT989361.1	KT989361.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-14.11 spike protein gene, complete cds	2015	2015-07-01	year
KT989364.1	KT989364.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNHB-14.10 spike protein gene, complete cds	2015	2015-07-01	year
KT989365.1	KT989365.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNAY-15.4 spike protein gene, complete cds	2015	2015-07-01	year
KT989366.1	KT989366.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNAY-14.7 spike protein gene, complete cds	2015	2015-07-01	year
KU237213.1	KU237213.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain CG S protein (S) gene, complete cds	2014	2014-07-01	year
KU556282.1	KU556282.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-101 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556283.1	KU556283.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-107 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556284.1	KU556284.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-109 S protein-like gene, complete sequence	2015	2015-07-01	year
KU556285.1	KU556285.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-113 S protein-like gene, partial sequence	2015	2015-07-01	year
KU975389.1	KU975389.1	G2a	Porcine epidemic diarrhea virus strain CH/SCCD/2014, complete genome	Nov-2014	2014-11-15	month
KU975420.1	KU975420.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCYA-1-2014 spike protein (S) gene, complete cds	2014	2014-07-01	year
KX066126.1	KX066126.1	G2a	Porcine epidemic diarrhea virus strain BJ-2011-C, complete genome	Nov-2011	2011-11-15	month
KX073607.1	KX073607.1	G2a	Porcine epidemic diarrhea virus isolate GZGL S protein (S) gene, complete cds	Dec-2013	2013-12-15	month
KX073608.1	KX073608.1	G2a	Porcine epidemic diarrhea virus isolate GZZY S protein (S) gene, complete cds	Dec-2013	2013-12-15	month
KX073610.1	KX073610.1	G2a	Porcine epidemic diarrhea virus isolate GZMR S protein (S) gene, complete cds	Dec-2013	2013-12-15	month
