accession	clade
KF453512.1	G2a
KF453514.1	G2a
KF453515.1	G2a
KF453516.1	G2a
KF453517.1	G2a
KF468755.1	G2a
KF546800.1	G2a
KF546801.1	G2a
KF546802.1	G2a
KF546803.1	G2a
KF546804.1	G2a
KF577730.1	G2a
KF577731.1	G2a
KF577732.1	G2a
KF601195.1	G2a
KF601196.1	G2a
KF601198.1	G2a
KF601200.1	G2a
KF601201.1	G2a
KF738258.1	G2a
KF738259.1	G2a
KF738260.1	G2a
KF738261.1	G2a
KF738262.1	G2a
KF738263.1	G2a
KF738264.1	G2a
KF760557.2	G2a
KF761675.1	G2a
KF840537.1	G2a
KF840538.1	G2a
KF840539.1	G2a
KF840540.1	G2a
KF840541.1	G2a
KF840542.1	G2a
KF840543.1	G2a
KF840544.1	G2a
KF840545.1	G2a
KF840546.1	G2a
KF840547.1	G2a
KF840548.1	G2a
KF840549.1	G2a
KF840550.1	G2a
KF840552.1	G2a
KF840553.1	G2a
KF840554.1	G2a
KF840555.1	G2a
KF840556.1	G2a
KF840561.1	G2a
KF840562.1	G2a
KJ020932.1	G2a
KJ196348.1	G2a
KJ526096.1	G2a
KJ646578.1	G2a
KJ646579.1	G2a
KJ646580.1	G2a
KJ646581.1	G2a
KJ646582.1	G2a
KJ646583.1	G2a
KJ646584.1	G2a
KJ646585.1	G2a
KJ646586.1	G2a
KJ646587.1	G2a
KJ646588.1	G2a
KJ646589.1	G2a
KJ646590.1	G2a
KJ646591.1	G2a
KJ777677.1	G2a
KJ777678.1	G2a
KM213245.1	G2a
KM225239.1	G2a
KM225240.1	G2a
KM225241.1	G2a
KM225242.1	G2a
KM225243.1	G2a
KM225244.1	G2a
KM225245.1	G2a
KM242131.1	G2a
KM287429.1	G2a
KM406178.1	G2a
KM406179.1	G2a
KM406180.1	G2a
KM406181.1	G2a
KM406182.1	G2a
KM406183.1	G2a
KM406184.1	G2a
KM609203.1	G2a
KM609205.1	G2a
KM609207.1	G2a
KM609208.1	G2a
KM609209.1	G2a
KM609210.1	G2a
KM609211.1	G2a
KP399601.1	G2a
KP399602.1	G2a
KP399603.1	G2a
KP399604.1	G2a
KP399605.1	G2a
KP399606.1	G2a
KP399608.1	G2a
KP399609.1	G2a
KP399610.1	G2a
KP399611.1	G2a
KP399612.1	G2a
KP399613.1	G2a
KP399617.1	G2a
KP399618.1	G2a
KP399620.1	G2a
KP399622.1	G2a
KP399623.1	G2a
KP399625.1	G2a
KP399626.1	G2a
KP399627.1	G2a
KP399629.1	G2a
KP399630.1	G2a
KP399631.1	G2a
KP399633.1	G2a
KP399634.1	G2a
KP698751.1	G2a
KP698752.2	G2a
KP698753.1	G2a
KP698754.2	G2a
KP698755.2	G2a
KP698756.2	G2a
KP698757.1	G2a
KP698758.1	G2a
KP698762.2	G2a
KP698764.2	G2a
KP698765.2	G2a
KP698766.2	G2a
KP698768.2	G2a
KP698770.1	G2a
KP870114.1	G2a
KP870116.1	G2a
KP870124.1	G2a
KP870126.1	G2a
KP870133.1	G2a
KP870134.1	G2a
KP870135.1	G2a
KP870137.1	G2a
KP870141.1	G2a
KP890336.1	G2a
KR080551.1	G2a
KR095279.1	G2a
KR233256.1	G2a
KR233257.1	G2a
KR296663.1	G2a
KR296664.1	G2a
KR296665.1	G2a
KR296668.1	G2a
KR296671.1	G2a
KR296672.1	G2a
KR296674.1	G2a
KR296675.1	G2a
KR296676.1	G2a
KR296679.1	G2a
KR296681.1	G2a
KR514318.1	G2a
KR514319.1	G2a
KR514320.1	G2a
KR514321.1	G2a
KR732651.1	G2a
KR732652.1	G2a
KR818832.1	G2a
KR818833.1	G2a
KT239506.1	G2a
KT239508.1	G2a
KT239509.1	G2a
KT239510.1	G2a
KT239514.1	G2a
KT239515.1	G2a
KT239517.1	G2a
KT239520.1	G2a
KT239521.1	G2a
KT239522.1	G2a
KT239523.1	G2a
KT266578.1	G2a
KT313036.1	G2a
KT313037.1	G2a
KT313038.1	G2a
KT313039.1	G2a
KT323980.1	G2a
KT388411.1	G2a
KT388415.1	G2a
KT388416.1	G2a
KT388417.1	G2a
KT388418.1	G2a
KT388419.1	G2a
KT948011.1	G2a
KT989352.1	G2a
KT989353.1	G2a
KT989355.1	G2a
KT989358.1	G2a
KT989359.1	G2a
KT989360.1	G2a
KT989361.1	G2a
KT989364.1	G2a
KT989365.1	G2a
KT989366.1	G2a
KU133232.1	G2a
KU133233.1	G2a
KU133235.1	G2a
KU133237.1	G2a
KU133239.1	G2a
KU133240.1	G2a
KU133241.1	G2a
KU133242.1	G2a
KU133243.1	G2a
KU133244.1	G2a
KU133245.1	G2a
KU133246.1	G2a
KU133249.1	G2a
KU133252.1	G2a
KU133253.1	G2a
KU133260.1	G2a
KU133261.1	G2a
KU133263.1	G2a
KU133264.1	G2a
KU133265.1	G2a
KU133266.1	G2a
KU133268.1	G2a
KU237213.1	G2a
KU237214.1	G2a
KU237215.1	G2a
KU237216.1	G2a
KU237218.1	G2a
KU237221.1	G2a
KU237228.1	G2a
KU237232.1	G2a
KU237234.1	G2a
KU556282.1	G2a
KU556283.1	G2a
KU556284.1	G2a
KU556285.1	G2a
KU558701.1	G2a
KU975389.1	G2a
KU975403.1	G2a
KU975404.1	G2a
KU975406.1	G2a
KU975409.1	G2a
KU975410.1	G2a
KU975411.1	G2a
KU975412.1	G2a
KU975413.1	G2a
KU975414.1	G2a
KU975415.1	G2a
KU975416.1	G2a
KU975418.1	G2a
KU975419.1	G2a
KU975420.1	G2a
KU975422.1	G2a
KU975423.1	G2a
KX064280.1	G2a
KX066126.1	G2a
KX073607.1	G2a
KX073608.1	G2a
KX073610.1	G2a
KX532180.1	G2a
KX532181.1	G2a
KX532182.1	G2a
KX532183.1	G2a
KX550281.1	G2a
KX580953.1	G2a
KX812523.1	G2a
KX981440.1	G2a
KY007139.1	G2a
KY007140.1	G2a
KY070587.1	G2a
KY075782.1	G2a
KY075783.1	G2a
KY075784.1	G2a
KY075786.1	G2a
KY075787.1	G2a
KY075788.1	G2a
KY075789.1	G2a
KY075790.1	G2a
KY211038.1	G2a
KY211039.1	G2a
KY211040.1	G2a
KY211041.1	G2a
KY211042.1	G2a
KY211043.1	G2a
KY211045.1	G2a
KY211046.1	G2a
KY211047.1	G2a
KY211048.1	G2a
KY211049.1	G2a
KY211051.1	G2a
KY211053.1	G2a
KY211054.1	G2a
KY211055.1	G2a
KY211056.1	G2a
KY211057.1	G2a
KY211060.1	G2a
KY211062.1	G2a
KY211063.1	G2a
KY211064.1	G2a
KY211065.1	G2a
KY211066.1	G2a
KY211067.1	G2a
KY211068.1	G2a
KY211069.1	G2a
KY211070.1	G2a
KY211071.1	G2a
KY211072.1	G2a
KY211073.1	G2a
KY211074.1	G2a
KY211075.1	G2a
KY496316.1	G2a
KY496317.1	G2a
KY496318.1	G2a
KY496319.1	G2a
KY496321.1	G2a
KY496322.1	G2a
KY607767.1	G2a
KY775037.1	G2a
KY775039.1	G2a
KY775043.1	G2a
KY775044.1	G2a
KY775049.1	G2a
KY775051.1	G2a
MF038004.1	G2a
MF038005.1	G2a
MF038006.1	G2a
MF038007.1	G2a
MF038008.1	G2a
MF038009.1	G2a
MF038010.1	G2a
MF038011.1	G2a
MF038012.1	G2a
MF038013.1	G2a
MF038014.1	G2a
MF038015.1	G2a
MF038016.1	G2a
MF152598.1	G2a
MF152600.1	G2a
MF152601.1	G2a
MF152605.1	G2a
MF462814.1	G2a
MF782686.1	G2a
MF782687.1	G2a
MF807952.1	G2a
MG020540.1	G2a
MG020544.1	G2a
MG020548.1	G2a
MG020549.1	G2a
MG020550.1	G2a
MG020554.1	G2a
MG020555.1	G2a
MG132631.1	G2a
MG132632.1	G2a
MG132633.1	G2a
MG132634.1	G2a
MG132635.1	G2a
MG132636.1	G2a
MG198639.1	G2a
MG198642.1	G2a
MG198643.1	G2a
MG198647.1	G2a
MG198648.1	G2a
MG198649.1	G2a
MG198660.1	G2a
MG198668.1	G2a
MG198669.1	G2a
MG198671.1	G2a
MG546687.1	G2a
MG546689.1	G2a
MG706117.1	G2a
MG706118.1	G2a
MG706119.1	G2a
MG706120.1	G2a
MG706121.1	G2a
MG837011.1	G2a
MG837012.1	G2a
MH053414.1	G2a
MH053415.1	G2a
MH053416.1	G2a
MH053417.1	G2a
MH056657.1	G2a
MH056658.1	G2a
MH061342.1	G2a
MH107321.1	G2a
MH107322.1	G2a
MH117940.1	G2a
MH244927.1	G2a
MH726362.1	G2a
MH726363.1	G2a
MH726364.1	G2a
MH726365.1	G2a
MH726366.1	G2a
MH726367.1	G2a
MH726368.1	G2a
MH726369.1	G2a
MH726370.1	G2a
MH726373.1	G2a
MH726374.1	G2a
MH726375.1	G2a
MH726376.1	G2a
MH726377.1	G2a
MH726378.1	G2a
MH726379.1	G2a
MH726380.1	G2a
MH726381.1	G2a
MH910099.1	G2a
MH991825.1	G2a
MH991838.1	G2a
MH991839.1	G2a
MH991842.1	G2a
MH991843.1	G2a
MH991855.1	G2a
MH991864.1	G2a
MH991865.1	G2a
MK093253.1	G2a
MK111632.1	G2a
MK124712.1	G2a
MK138516.1	G2a
MK532983.1	G2a
MK532984.1	G2a
MK532985.1	G2a
MK532986.1	G2a
MK532987.1	G2a
MK532988.1	G2a
MK533002.1	G2a
MK533004.1	G2a
MK539948.2	G2a
MK606368.1	G2a
MK644604.1	G2a
MK656504.1	G2a
MK656508.1	G2a
MK656509.1	G2a
MK656510.1	G2a
MK656511.1	G2a
MK656512.1	G2a
MK656513.1	G2a
MK796238.1	G2a
MK841494.1	G2a
MK841495.1	G2a
MN037494.1	G2a
MN114121.1	G2a
MN368662.1	G2a
MN368663.1	G2a
MN368664.1	G2a
MN368666.1	G2a
MN368667.1	G2a
MN368671.1	G2a
MN368673.1	G2a
MN368674.1	G2a
MN368675.1	G2a
MN368676.1	G2a
MN368680.1	G2a
MN368688.1	G2a
MN368694.1	G2a
MN368696.1	G2a
MN368697.1	G2a
MN368706.1	G2a
MN368710.1	G2a
MN368724.1	G2a
MN412558.1	G2a
MN412559.1	G2a
MN412560.1	G2a
MN412561.1	G2a
MN412562.1	G2a
MN412563.1	G2a
MN412564.1	G2a
MN412565.1	G2a
MN412566.1	G2a
MN412568.1	G2a
MN412569.1	G2a
MN412573.1	G2a
MN594506.1	G2a
MN612069.1	G2a
MN612070.1	G2a
MN612071.1	G2a
MN612072.1	G2a
MN612073.1	G2a
MN612074.1	G2a
MN612075.1	G2a
MN612076.1	G2a
MN612077.1	G2a
MN617863.1	G2a
MN721360.1	G2a
MN721361.1	G2a
MN721362.1	G2a
MN721363.1	G2a
MN721365.1	G2a
MN721366.1	G2a
MN721367.1	G2a
MN721368.1	G2a
MN721369.1	G2a
MN721371.1	G2a
MN721372.1	G2a
MN721373.1	G2a
MN893417.1	G2a
MN893424.1	G2a
MN893427.1	G2a
MT090138.1	G2a
MT090139.1	G2a
MT090145.1	G2a
MT294130.1	G2a
MT338517.1	G2a
MT547179.1	G2a
MT547180.1	G2a
MT646162.1	G2a
MT659926.1	G2a
MT683617.1	G2a
MT843280.1	G2a
MW143081.1	G2a
MW143082.1	G2a
MW143086.1	G2a
MW143087.1	G2a
MW143088.1	G2a
MW143089.1	G2a
MW143090.1	G2a
MW143093.1	G2a
MW478768.1	G2a
MW478770.1	G2a
MW478771.1	G2a
MW478772.1	G2a
MW561264.1	G2a
MW762534.1	G2a
MW826595.1	G2a
MW826597.1	G2a
MZ161047.1	G2a
MZ161060.1	G2a
MZ380292.1	G2a
MZ712170.1	G2a
OL855978.1	G2a
OL855979.1	G2a
OL907256.1	G2a
OL907259.1	G2a
OM776958.1	G2a
OM948910.1	G2a
OM948925.1	G2a
ON058990.1	G2a
ON075821.1	G2a
ON168795.1	G2a
ON417003.1	G2a
OP019344.1	G2a
OP019355.1	G2a
OP191700.1	G2a
OP382083.1	G2a
OP529824.1	G2a
OP603897.1	G2a
OP727263.1	G2a
OP784565.1	G2a
OQ122102.1	G2a
OQ122108.1	G2a
OQ122109.1	G2a
OQ349201.1	G2a
OQ349204.1	G2a
OQ349205.1	G2a
OQ349206.1	G2a
OQ349207.1	G2a
OQ349208.1	G2a
OQ349210.1	G2a
OQ349211.1	G2a
OQ349213.1	G2a
OQ349215.1	G2a
OQ349217.1	G2a
OQ349224.1	G2a
OQ718863.1	G2a
OQ723792.1	G2a
OQ858592.1	G2a
OQ979201.1	G2a
OR085244.1	G2a
OR085281.1	G2a
OR085282.1	G2a
OR085283.1	G2a
OR085284.1	G2a
OR085285.1	G2a
OR090885.1	G2a
OR090886.1	G2a
OR090887.1	G2a
OR090888.1	G2a
OR195029.1	G2a
OR365272.1	G2a
OR365273.1	G2a
OR365274.1	G2a
OR365275.1	G2a
OR365276.1	G2a
OR365277.1	G2a
OR365278.1	G2a
OR365279.1	G2a
OR576822.1	G2a
OR596889.1	G2a
OR707084.1	G2a
OR722805.1	G2a
OR992086.1	G2a
OR992087.1	G2a
PF141447.1	G2a
PP395578.1	G2a
PP395582.1	G2a
PP395585.1	G2a
PP395588.1	G2a
PP580806.1	G2a
PP723329.1	G2a
PP906229.1	G2a
PP923928.1	G2a
PP923931.1	G2a
PP923932.1	G2a
PP998009.1	G2a
PQ124000.1	G2a
PQ284568.1	G2a
PQ284569.1	G2a
PQ284570.1	G2a
PV036770.1	G2a
PV036771.1	G2a
PV164722.1	G2a
PV164727.1	G2a
PV167808.1	G2a
PV167809.1	G2a
PV167810.1	G2a
PV167811.1	G2a
PV449162.1	G2a
PV523943.1	G2a
PV523944.1	G2a
PV523945.1	G2a
PV523946.1	G2a
PV523947.1	G2a
PV523948.1	G2a
PV523949.1	G2a
PV523950.1	G2a
PV523951.1	G2a
PV523952.1	G2a
PV523953.1	G2a
PV523954.1	G2a
PV523955.1	G2a
PV523956.1	G2a
PV536108.1	G2a
PV536109.1	G2a
PV536110.1	G2a
PV536111.1	G2a
PV609798.1	G2a
PV890949.1	G2a
PX475711.1	G2a
PX619215.1	G2a
PX652412.1	G2a
AB857234.1	G2b
JN980698.1	G2b
JQ239429.1	G2b
JQ638915.1	G2b
JQ638918.1	G2b
JX018179.1	G2b
JX145339.1	G2b
JX188454.1	G2b
JX242454.1	G2b
JX242455.1	G2b
JX242456.1	G2b
JX242457.1	G2b
JX242458.1	G2b
JX242460.1	G2b
JX242463.1	G2b
JX261936.1	G2b
JX489155.1	G2b
JX647847.1	G2b
KC787536.1	G2b
KF384500.1	G2b
KF601197.1	G2b
KF601199.1	G2b
KM089829.1	G2b
KM225247.1	G2b
KM225248.1	G2b
KM225249.1	G2b
KM225250.1	G2b
KM225251.1	G2b
KM225252.1	G2b
KM609204.1	G2b
KP399607.1	G2b
KP399616.1	G2b
KP399619.1	G2b
KP399621.1	G2b
KP399624.1	G2b
KP399628.1	G2b
KP698767.1	G2b
KP765609.1	G2b
KP870115.1	G2b
KP870119.1	G2b
KP870129.1	G2b
KP870130.1	G2b
KP870139.1	G2b
KT021228.1	G2b
KT021229.1	G2b
KT021230.1	G2b
KT021231.1	G2b
KT021233.1	G2b
KT388421.1	G2b
KT989354.1	G2b
KT989357.1	G2b
KU133254.1	G2b
KU133255.1	G2b
KU380331.1	G2b
KU646831.1	G2b
KU985230.1	G2b
KX791060.1	G2b
KY211050.1	G2b
KY211052.1	G2b
KY211061.1	G2b
KY775035.1	G2b
KY775036.1	G2b
MG132637.1	G2b
MG132638.1	G2b
MG132639.1	G2b
MG198632.1	G2b
MG334004.1	G2b
MH708895.1	G2b
MH726384.1	G2b
MH726385.1	G2b
MH726386.1	G2b
MH726387.1	G2b
MH726388.1	G2b
MH726389.1	G2b
MH726390.1	G2b
MH726391.1	G2b
MH726392.1	G2b
MH726393.1	G2b
MH726394.1	G2b
MH726395.1	G2b
MH726396.1	G2b
MH726397.1	G2b
MH726398.1	G2b
MH726399.1	G2b
MH726400.1	G2b
MH726401.1	G2b
MH748550.1	G2b
MK288006.1	G2b
MK392335.1	G2b
MK584552.1	G2b
MN368700.1	G2b
MN368702.1	G2b
MN508818.1	G2b
MN759311.1	G2b
MW145530.1	G2b
MW145533.1	G2b
MW386982.1	G2b
MZ161006.1	G2b
MZ161014.1	G2b
MZ161018.1	G2b
MZ161022.1	G2b
MZ161023.1	G2b
MZ161024.1	G2b
MZ161025.1	G2b
MZ161029.1	G2b
MZ161030.1	G2b
MZ161032.1	G2b
MZ161033.1	G2b
MZ161034.1	G2b
MZ161035.1	G2b
MZ161036.1	G2b
MZ161037.1	G2b
MZ161041.1	G2b
MZ161046.1	G2b
MZ161059.1	G2b
MZ161078.1	G2b
MZ364307.1	G2b
MZ364308.1	G2b
MZ364309.1	G2b
MZ364314.1	G2b
MZ581326.1	G2b
MZ604716.1	G2b
OM201218.1	G2b
ON248872.1	G2b
ON262797.1	G2b
ON571549.1	G2b
ON649885.1	G2b
OP019333.1	G2b
OP171888.1	G2b
OP171891.1	G2b
OP171892.1	G2b
OP287015.1	G2b
OP374021.1	G2b
OP894120.1	G2b
OP972835.1	G2b
OQ122098.1	G2b
OQ122103.1	G2b
OQ122105.1	G2b
OQ122111.1	G2b
OQ349221.1	G2b
OQ437174.1	G2b
OQ589489.1	G2b
OR001817.1	G2b
OR085298.1	G2b
OR085299.1	G2b
OR085300.1	G2b
OR085309.1	G2b
OR085310.1	G2b
OR085311.1	G2b
OR479072.1	G2b
OR479073.1	G2b
OR479074.1	G2b
OR479075.1	G2b
OR479076.1	G2b
OR479077.1	G2b
OR479078.1	G2b
OR479079.1	G2b
OR576821.1	G2b
PP395584.1	G2b
PP580808.1	G2b
PP580811.1	G2b
PP580813.1	G2b
PP723328.1	G2b
PP901935.1	G2b
PQ284571.1	G2b
PQ284572.1	G2b
PV036769.1	G2b
PV146395.1	G2b
PV146397.1	G2b
PV164728.1	G2b
PV523941.1	G2b
PV523942.1	G2b
PV536080.1	G2b
PV536081.1	G2b
PV536106.1	G2b
PV609800.1	G2b
PV614330.1	G2b
PV641626.1	G2b
PV641632.1	G2b
PV695983.1	G2b
PV844369.1	G2b
PV844370.1	G2b
PX229706.1	G2b
PX482649.1	G2b
PX652413.1	G2b
KF840551.1	G2c
KM609206.1	G2c
KM609212.1	G2c
KM609213.1	G2c
KR153326.1	G2c
KR296667.1	G2c
KR296670.1	G2c
KR296683.1	G2c
KR809885.1	G2c
KT199103.1	G2c
KT239505.1	G2c
KT239507.1	G2c
KT239511.1	G2c
KT239512.1	G2c
KT239516.1	G2c
KT239518.1	G2c
KT239519.1	G2c
KT388410.1	G2c
KT388413.1	G2c
KT428879.1	G2c
KT989356.1	G2c
KT989362.1	G2c
KT989363.1	G2c
KU133236.1	G2c
KU133238.1	G2c
KU133247.1	G2c
KU133248.1	G2c
KU133250.1	G2c
KU133251.1	G2c
KU133259.1	G2c
KU133269.1	G2c
KU237217.1	G2c
KU237219.1	G2c
KU237220.1	G2c
KU237222.1	G2c
KU237223.1	G2c
KU237224.1	G2c
KU237225.1	G2c
KU237226.1	G2c
KU237227.1	G2c
KU237229.1	G2c
KU237230.1	G2c
KU237231.1	G2c
KU237233.1	G2c
KU252649.1	G2c
KU556276.1	G2c
KU556277.1	G2c
KU556278.1	G2c
KU556279.1	G2c
KU556280.1	G2c
KU556281.1	G2c
KU556286.1	G2c
KU556287.1	G2c
KU743294.1	G2c
KU743295.1	G2c
KU743296.1	G2c
KU743297.1	G2c
KU743298.1	G2c
KU743299.1	G2c
KU975405.1	G2c
KX016034.1	G2c
KX058031.1	G2c
KX073609.1	G2c
KX812524.1	G2c
KY211058.1	G2c
KY496313.1	G2c
KY496315.1	G2c
KY496320.1	G2c
KY649107.1	G2c
KY679906.1	G2c
KY775038.1	G2c
KY775040.1	G2c
KY775041.1	G2c
KY775042.1	G2c
KY775045.1	G2c
KY775046.1	G2c
KY775047.1	G2c
KY775048.1	G2c
KY775050.1	G2c
KY793536.1	G2c
KY928065.1	G2c
MF152596.1	G2c
MF152597.1	G2c
MF152599.1	G2c
MF152602.1	G2c
MF152603.1	G2c
MF152604.1	G2c
MF346935.1	G2c
MF375374.1	G2c
MF807951.1	G2c
MG020538.1	G2c
MG020539.1	G2c
MG020541.1	G2c
MG020542.1	G2c
MG020543.1	G2c
MG020545.1	G2c
MG020546.1	G2c
MG020547.1	G2c
MG020551.1	G2c
MG020552.1	G2c
MG020553.1	G2c
MG198637.1	G2c
MG198644.1	G2c
MG198646.1	G2c
MG198650.1	G2c
MG198652.1	G2c
MG198653.1	G2c
MG198657.1	G2c
MG198658.1	G2c
MG198661.1	G2c
MG198662.1	G2c
MG198663.1	G2c
MG198666.1	G2c
MG198667.1	G2c
MG198670.1	G2c
MG334002.1	G2c
MG334003.1	G2c
MG334007.1	G2c
MG334008.1	G2c
MG334009.1	G2c
MG334010.1	G2c
MG546688.1	G2c
MG546690.1	G2c
MG983755.1	G2c
MH003891.1	G2c
MH053412.1	G2c
MH053413.1	G2c
MH053418.1	G2c
MH053419.1	G2c
MH053420.1	G2c
MH061337.1	G2c
MH061339.1	G2c
MH061340.1	G2c
MH061341.1	G2c
MH581489.1	G2c
MH593139.1	G2c
MH593140.1	G2c
MH593142.1	G2c
MH593143.1	G2c
MH593144.1	G2c
MH593145.1	G2c
MH593146.1	G2c
MH593147.1	G2c
MH593149.1	G2c
MH593150.1	G2c
MH593151.1	G2c
MH593153.1	G2c
MH593893.1	G2c
MH593895.1	G2c
MH678638.1	G2c
MH708243.1	G2c
MH726371.1	G2c
MH726372.1	G2c
MH726382.1	G2c
MH726383.1	G2c
MH726402.1	G2c
MH726403.1	G2c
MH726404.1	G2c
MH726405.1	G2c
MH726406.1	G2c
MH726407.1	G2c
MH816969.1	G2c
MH893764.1	G2c
MH991826.1	G2c
MH991827.1	G2c
MH991828.1	G2c
MH991829.1	G2c
MH991830.1	G2c
MH991831.1	G2c
MH991832.1	G2c
MH991833.1	G2c
MH991834.1	G2c
MH991835.1	G2c
MH991836.1	G2c
MH991837.1	G2c
MH991840.1	G2c
MH991841.1	G2c
MH991844.1	G2c
MH991845.1	G2c
MH991846.1	G2c
MH991847.1	G2c
MH991848.1	G2c
MH991849.1	G2c
MH991850.1	G2c
MH991851.1	G2c
MH991852.1	G2c
MH991853.1	G2c
MH991854.1	G2c
MH991856.1	G2c
MH991857.1	G2c
MH991858.1	G2c
MH991859.1	G2c
MH991860.1	G2c
MH991861.1	G2c
MH991862.1	G2c
MH991863.1	G2c
MH991866.1	G2c
MH991867.1	G2c
MH991868.1	G2c
MK111633.1	G2c
MK138353.1	G2c
MK140814.1	G2c
MK250953.1	G2c
MK532982.1	G2c
MK532989.1	G2c
MK532990.1	G2c
MK532991.1	G2c
MK532992.1	G2c
MK532993.1	G2c
MK532994.1	G2c
MK532995.1	G2c
MK532996.1	G2c
MK532997.1	G2c
MK532998.1	G2c
MK532999.1	G2c
MK533000.1	G2c
MK533001.1	G2c
MK533003.1	G2c
MK533005.1	G2c
MK533006.1	G2c
MK533007.1	G2c
MK533008.1	G2c
MK533009.1	G2c
MK533010.1	G2c
MK592415.1	G2c
MK592416.1	G2c
MK598819.1	G2c
MK598820.1	G2c
MK598821.1	G2c
MK606369.1	G2c
MK628688.1	G2c
MK644601.1	G2c
MK644602.1	G2c
MK644603.1	G2c
MK644605.1	G2c
MK656505.1	G2c
MK656506.1	G2c
MK656507.1	G2c
MK685665.1	G2c
MK690502.1	G2c
MK702008.1	G2c
MK726310.1	G2c
MK820037.1	G2c
MK820038.1	G2c
MK820039.1	G2c
MK820040.1	G2c
MK820041.1	G2c
MK862249.1	G2c
MN161584.1	G2c
MN213154.1	G2c
MN368665.1	G2c
MN368668.1	G2c
MN368669.1	G2c
MN368670.1	G2c
MN368672.1	G2c
MN368677.1	G2c
MN368678.1	G2c
MN368679.1	G2c
MN368681.1	G2c
MN368682.1	G2c
MN368683.1	G2c
MN368684.1	G2c
MN368685.1	G2c
MN368686.1	G2c
MN368687.1	G2c
MN368689.1	G2c
MN368690.1	G2c
MN368691.1	G2c
MN368692.1	G2c
MN368693.1	G2c
MN368695.1	G2c
MN368698.1	G2c
MN368699.1	G2c
MN368703.1	G2c
MN368704.1	G2c
MN368705.1	G2c
MN368707.1	G2c
MN368708.1	G2c
MN368709.1	G2c
MN368711.1	G2c
MN368712.1	G2c
MN368713.1	G2c
MN368714.1	G2c
MN368715.1	G2c
MN368716.1	G2c
MN368717.1	G2c
MN368719.1	G2c
MN368720.1	G2c
MN368721.1	G2c
MN368722.1	G2c
MN368723.1	G2c
MN368725.1	G2c
MN412557.1	G2c
MN412567.1	G2c
MN412570.1	G2c
MN412571.1	G2c
MN412572.1	G2c
MN412574.1	G2c
MN617858.1	G2c
MN617859.1	G2c
MN617860.1	G2c
MN617861.1	G2c
MN617862.1	G2c
MN617864.1	G2c
MN617865.1	G2c
MN617866.1	G2c
MN617867.1	G2c
MN841671.1	G2c
MN893406.1	G2c
MN893407.1	G2c
MN893411.1	G2c
MN893412.1	G2c
MN893413.1	G2c
MN893416.1	G2c
MN893418.1	G2c
MN893419.1	G2c
MN893420.1	G2c
MN893421.1	G2c
MN893422.1	G2c
MN893423.1	G2c
MN893425.1	G2c
MT031819.1	G2c
MT031820.1	G2c
MT090137.1	G2c
MT090140.1	G2c
