PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
MN893423.1 Porcine epidemic diarrhea virus isolate CH-HNZK-2-2018 spike glycoprotein gene, complete cds
MH991845.1 Porcine epidemic diarrhea virus strain PA2-HB2018 S protein (S) gene, complete cds
MT031819.1 Porcine epidemic diarrhea virus strain CH/CC-1/2018 spike protein (S) gene, complete cds
OQ349214.1 Porcine epidemic diarrhea virus isolate FJ2002 spike protein (S) gene, complete cds
MN412574.1 Porcine epidemic diarrhea virus strain SX-WS2/2018 S protein (S) gene, complete cds
MT090146.1 Porcine epidemic diarrhea virus strain CH/SXWS/2018, complete genome
MN893416.1 Porcine epidemic diarrhea virus isolate CH-HNPY-2016 spike glycoprotein gene, complete cds
MT263014.1 Porcine epidemic diarrhea virus isolate SC-YB73, partial genome
OR576826.1 Porcine epidemic diarrhea virus isolate CH/GD445/2022 spike protein (S) gene, complete cds
MF152599.1 Porcine epidemic diarrhea virus strain CH/HNXY/2016 spike protein gene, complete cds
MN893418.1 Porcine epidemic diarrhea virus isolate CH-HNXX-2017 spike glycoprotein gene, complete cds
MN893419.1 Porcine epidemic diarrhea virus isolate CH-HNXY-1-2017 spike glycoprotein gene, complete cds
MH991854.1 Porcine epidemic diarrhea virus strain V1-HB2018 S protein (S) gene, complete cds
MK533010.1 Porcine epidemic diarrhea virus strain V15-HB2018 spike protein (S) gene, complete cds
MN893420.1 Porcine epidemic diarrhea virus isolate CH-HNXY-2-2017 spike glycoprotein gene, complete cds
PQ179480.1 Porcine epidemic diarrhea virus strain SX0818-2022, complete genome
MK532996.1 Porcine epidemic diarrhea virus strain M5-SX2017 spike protein (S) gene, complete cds
MK532997.1 Porcine epidemic diarrhea virus strain M6-SX2017 spike protein (S) gene, complete cds
MT787025.1 Porcine epidemic diarrhea virus strain PEDV CH/SX/2016, complete genome
MH593142.1 Porcine epidemic diarrhea virus isolate CH/SCQL517/2018 spike protein (S) gene, complete cds
MH593146.1 Porcine epidemic diarrhea virus isolate CH/SCZZ/2018 spike protein (S) gene, complete cds
MH991847.1 Porcine epidemic diarrhea virus strain Q10-HB2017 S protein (S) gene, complete cds
MH593145.1 Porcine epidemic diarrhea virus isolate CH/SCSH525/2018 spike protein (S) gene, complete cds
MH061340.1 Porcine epidemic diarrhea virus strain CH/SCZY103/2017, complete genome
MH053412.1 Porcine epidemic diarrhea virus isolate CH/SCMZ/2017 spike protein (S) gene, complete cds
MH991829.1 Porcine epidemic diarrhea virus strain E6-SN2017 S protein (S) gene, complete cds
MK532992.1 Porcine epidemic diarrhea virus strain E5-SN2017 spike protein (S) gene, complete cds
MK606369.1 Porcine epidemic diarrhea virus isolate CH-HB2-2018, complete genome
MK592416.1 Porcine epidemic diarrhea virus isolate SWUN2/CH/SCXC/2018 spike protein (S) gene, complete cds
MK598820.1 Porcine epidemic diarrhea virus isolate CH/SCXC/2018 spike protein (S) gene, complete cds
MK598819.1 Porcine epidemic diarrhea virus isolate CH/SCZY/2018 spike protein (S) gene, complete cds
MH053413.1 Porcine epidemic diarrhea virus isolate CH/SCSH/2018 spike protein (S) gene, complete cds
MH593139.1 Porcine epidemic diarrhea virus isolate CH/SCSH425/2018 spike protein (S) gene, complete cds
PV614326.1 Porcine epidemic diarrhea virus isolate MS2301 spike protein (S) gene, complete cds
PP395583.1 Porcine epidemic diarrhea virus strain SC2022LS spike protein (S) gene, complete cds
MG020553.1 Porcine epidemic diarrhea virus isolate CH-ZJLS-1-2016 spike protein (S) gene, complete cds
MW478762.1 Porcine epidemic diarrhea virus isolate GDsg03 spike protein (S) gene, complete cds
MW478763.1 Porcine epidemic diarrhea virus isolate GDsg04 spike protein (S) gene, complete cds
MG020552.1 Porcine epidemic diarrhea virus isolate CH-ML-2-2016 spike protein (S) gene, complete cds
PP906225.1 Porcine epidemic diarrhea virus strain GD-QY spike protein gene, complete cds
MK702008.1 Porcine epidemic diarrhea virus isolate SNJ-P, complete genome
MH593143.1 Porcine epidemic diarrhea virus isolate CH/SCDL/2018 spike protein (S) gene, complete cds
MW478765.1 Porcine epidemic diarrhea virus isolate GDsg06 spike protein (S) gene, complete cds
MW478766.1 Porcine epidemic diarrhea virus isolate GDsg07 spike protein (S) gene, complete cds
MW478764.1 Porcine epidemic diarrhea virus isolate GDsg05 spike protein (S) gene, complete cds
MW478767.1 Porcine epidemic diarrhea virus isolate GDsg08 spike protein (S) gene, complete cds
MH726372.1 Porcine epidemic diarrhea virus isolate GDS28, complete genome
KY775038.1 Porcine epidemic diarrhea virus isolate BHJZ1 spike protein (S) gene, complete cds
KU237220.1 Porcine epidemic diarrhea virus strain KF S protein (S) gene, complete cds
KT388413.1 Porcine epidemic diarrhea virus isolate CH-XDC-2015 spike glycoprotein gene, complete cds
KX058031.1 UNVERIFIED: Porcine epidemic diarrhea virus strain CH/JX/01/P0, complete genome
OR567503.1 Porcine epidemic diarrhea virus isolate CHN/HuB-202201 spike protein gene, complete cds
KT199103.1 Porcine epidemic diarrhea virus isolate CH/HNLH/2015, complete genome
OR576825.1 Porcine epidemic diarrhea virus isolate CH/GD444/2022 spike protein (S) gene, complete cds
KR296667.1 Porcine epidemic diarrhea virus strain CH-HGC-01-2015 S protein (S) gene, complete cds
KU237224.1 Porcine epidemic diarrhea virus strain PDS S protein (S) gene, complete cds
MG198662.1 Porcine epidemic diarrhea virus isolate JSSY1505 spike protein gene, complete cds
KU556286.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY4-98 S protein-like gene, partial sequence
MG198644.1 Porcine epidemic diarrhea virus isolate JSDT1505 spike protein gene, complete cds
MN368670.1 Porcine epidemic diarrhea virus isolate GDjm15 spike protein (S) gene, complete cds
KT239507.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHSZ-1 spike protein-like gene, complete sequence
KU743294.1 Porcine epidemic diarrhea virus strain AHCZ-2 spike protein (S) gene, complete cds
MT625963.1 Porcine epidemic diarrhea virus strain CH/JSXZ/2015, complete genome
KY775040.1 Porcine epidemic diarrhea virus isolate HBXY1 spike protein (S) gene, complete cds
KU743295.1 Porcine epidemic diarrhea virus strain AHAQ-2 spike protein (S) gene, complete cds
MH991828.1 Porcine epidemic diarrhea virus strain E3-SX2017 S protein (S) gene, complete cds
KT239511.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-3 spike protein-like gene, complete sequence
KY775041.1 Porcine epidemic diarrhea virus isolate HBXY2 spike protein (S) gene, complete cds
MG198663.1 Porcine epidemic diarrhea virus isolate JSSY1603 spike protein gene, complete cds
KY211058.1 Porcine epidemic diarrhea virus isolate XY2S spike protein gene, complete cds
MH991830.1 Porcine epidemic diarrhea virus strain F11-HB2017 S protein (S) gene, complete cds
MH991844.1 Porcine epidemic diarrhea virus strain P12-HB2017 S protein (S) gene, complete cds
MK533005.1 Porcine epidemic diarrhea virus strain P13-HB2017 spike protein (S) gene, complete cds
MG198650.1 Porcine epidemic diarrhea virus isolate JSPZ1412 spike protein gene, complete cds
KU237231.1 Porcine epidemic diarrhea virus strain XX S protein (S) gene, complete cds
MN368679.1 Porcine epidemic diarrhea virus isolate GZgy15 spike protein (S) gene, complete cds
KU133250.1 Porcine epidemic diarrhea virus isolate CH-SDLY-1-2013 spike protein (S) gene, complete cds
KR153326.1 Porcine epidemic diarrhea virus strain CH/GDZHDM/1401, complete genome
KX016034.1 Porcine epidemic diarrhea virus isolate CH/GDZHDM/1401, complete genome
KU237226.1 Porcine epidemic diarrhea virus strain QX2 S protein (S) gene, complete cds
KU237225.1 Porcine epidemic diarrhea virus strain QX1 S protein (S) gene, complete cds
KU237227.1 Porcine epidemic diarrhea virus strain QX3 S protein (S) gene, complete cds
KM609213.1 Porcine epidemic diarrhea virus strain PEDV-WS, complete genome
KM609212.1 Porcine epidemic diarrhea virus strain PEDV-LYG, complete genome
KY793536.1 Porcine epidemic diarrhea virus strain CH/GX/2015/750A, complete genome
KT239518.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHTL-1 spike protein-like gene, complete sequence
KR296670.1 Porcine epidemic diarrhea virus strain CH-QTC-01-2015 S protein (S) gene, complete cds
KT388410.1 Porcine epidemic diarrhea virus isolate CH-YYC-2025 spike glycoprotein gene, complete cds
KU556280.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-46 S protein-like gene, complete sequence
KU556279.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-39 S protein-like gene, complete sequence
KU556281.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-51 S protein-like gene, partial sequence
KU556287.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY2-60 S protein-like gene, complete sequence
KU556278.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY1-27 S protein-like gene, complete sequence
KU556276.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate HF-90 S protein-like gene, partial sequence
KU556277.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate HF-91 S protein-like gene, partial sequence
KU237223.1 Porcine epidemic diarrhea virus strain NH S protein (S) gene, complete cds
KU133238.1 Porcine epidemic diarrhea virus isolate CH-SDDP-3-2014 spike protein (S) gene, complete cds
KU133259.1 Porcine epidemic diarrhea virus isolate CH-SDQF-4-2014 spike protein (S) gene, complete cds
KU237222.1 Porcine epidemic diarrhea virus strain MZ S protein (S) gene, complete cds
KU237233.1 UNVERIFIED: Porcine epidemic diarrhea virus strain YZ1 S protein (S) gene, complete cds
KU133251.1 Porcine epidemic diarrhea virus isolate CH-SDLY-1-2014 spike protein (S) gene, complete cds
KU133247.1 Porcine epidemic diarrhea virus isolate CH-SDLS-1-2014 spike protein (S) gene, complete cds
KU133248.1 Porcine epidemic diarrhea virus isolate CH-SDLS-2-2014 spike protein (S) gene, complete cds
KU743297.1 Porcine epidemic diarrhea virus strain AHHF-4 spike protein (S) gene, complete cds
KU743298.1 Porcine epidemic diarrhea virus strain AHHB-1 spike protein (S) gene, complete cds
PQ124012.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-ZYC S protein gene, complete cds
PV536104.1 Porcine epidemic diarrhea virus isolate PEDV-LNDC35-2023, partial genome
PV536105.1 Porcine epidemic diarrhea virus isolate PEDV-LNDC36-2023, partial genome
PP901939.1 Porcine epidemic diarrhea virus isolate PEDV/CN/LNDL/01 spike protein (S) gene, partial cds
PP901940.1 Porcine epidemic diarrhea virus isolate PEDV/CN/LNLD/02 spike protein (S) gene, partial cds
MZ570133.1 Porcine epidemic diarrhea virus isolate CH/HNKF-01/2020 spike protein (S) gene, complete cds
OR808020.1 Porcine epidemic diarrhea virus isolate AHfy2023 spike protein (S) gene, complete cds
PP580829.1 Porcine epidemic diarrhea virus isolate HN-ZZ2021 spike protein (S) gene, complete cds
MZ161073.1 Porcine epidemic diarrhea virus strain CH/HBSY/02/2021 spike protein (S) gene, complete cds
OQ122115.1 Porcine epidemic diarrhea virus isolate HNZK/2021 spike protein (S) gene, complete cds
PV890856.1 Porcine epidemic diarrhea virus isolate HNXC-15 spike protein (S) gene, complete cds
PV890858.1 Porcine epidemic diarrhea virus isolate HNYZ-8 spike protein (S) gene, complete cds
PV890859.1 Porcine epidemic diarrhea virus isolate HNYZ-9 spike protein (S) gene, complete cds
OP529823.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate GS2019-513, complete genome
MG198646.1 Porcine epidemic diarrhea virus isolate JSHA1602 spike protein gene, complete cds
KT428879.1 Porcine epidemic diarrhea virus strain YC2014 spike protein (S) gene, complete cds
KU252649.1 Porcine epidemic diarrhea virus strain YC2014, complete genome
PX229703.1 Porcine epidemic diarrhea virus isolate JS-SQ2021 spike protein gene, complete cds
PX229691.1 Porcine epidemic diarrhea virus isolate JS-SQTJ2021 spike protein gene, complete cds
MG198657.1 Porcine epidemic diarrhea virus isolate JSSQ1507 spike protein gene, complete cds
MG198666.1 Porcine epidemic diarrhea virus isolate JSTZ1505 spike protein gene, complete cds
PX229692.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-SQTJ2021-1 spike protein-like gene, complete sequence
MG198658.1 Porcine epidemic diarrhea virus isolate JSSQ1508 spike protein gene, complete cds
MG198661.1 Porcine epidemic diarrhea virus isolate JSSQLH15 spike protein gene, complete cds
KM609206.1 Porcine epidemic diarrhea virus strain PEDV-10F, complete genome
MH726371.1 Porcine epidemic diarrhea virus isolate GDS21, complete genome
MF152597.1 Porcine epidemic diarrhea virus strain CH/HN7/2016 spike protein gene, complete cds
MZ161086.1 Porcine epidemic diarrhea virus strain CH/GXLB/05/2020 spike protein (S) gene, complete cds
MZ161012.1 Porcine epidemic diarrhea virus strain CH/SCMY/12/2020 spike protein (S) gene, complete cds
KY649107.1 Porcine epidemic diarrhea virus strain CH-HNKF-16, complete genome
MK140814.1 Porcine epidemic diarrhea virus isolate CH/TP-4-4/2018, complete genome
MN368707.1 Porcine epidemic diarrhea virus isolate HNcz17 spike protein (S) gene, complete cds
MH991862.1 Porcine epidemic diarrhea virus strain Y1-HA2018 S protein (S) gene, complete cds
MK726310.1 Porcine epidemic diarrhea virus strain CH/HNZK/201709 spike protein gene, complete cds
KT989363.1 Porcine epidemic diarrhea virus isolate CH-HNHB-14.11 spike protein gene, complete cds
KR296683.1 Porcine epidemic diarrhea virus strain CH-CLC-01-2015 S protein (S) gene, complete cds
KU237219.1 Porcine epidemic diarrhea virus strain JY S protein (S) gene, complete cds
KU237229.1 Porcine epidemic diarrhea virus strain WZ1 S protein (S) gene, complete cds
KU237230.1 Porcine epidemic diarrhea virus strain WZ2 S protein (S) gene, complete cds
KR809885.1 Porcine epidemic diarrhea virus isolate CH/HNAY/2015, complete genome
KU237217.1 Porcine epidemic diarrhea virus strain HJ S protein (S) gene, complete cds
KT989356.1 Porcine epidemic diarrhea virus isolate CH-HNKF-15.1 spike protein gene, complete cds
KT989362.1 Porcine epidemic diarrhea virus isolate CH-HNHB-15.3 spike protein gene, complete cds
MH991850.1 Porcine epidemic diarrhea virus strain S1-GD2018 S protein (S) gene, complete cds
OQ122101.1 Porcine epidemic diarrhea virus isolate ZJWZ/2021 spike protein (S) gene, complete cds
PP472646.1 Porcine epidemic diarrhea virus isolate ZJWZ/2021, complete genome
KX812524.1 Porcine epidemic diarrhea virus isolate XM2-4, complete genome
MN368725.1 Porcine epidemic diarrhea virus isolate GDzj18-2 spike protein (S) gene, complete cds
PQ316088.1 Porcine epidemic diarrhea virus isolate CH/HNDZ/2022, complete genome
PV098397.1 Porcine epidemic diarrhea virus isolate PEDV-BJ-2023, complete genome
OR085296.1 Porcine epidemic diarrhea virus isolate PEDV-YNPJ5-2022, complete genome
OR085297.1 Porcine epidemic diarrhea virus isolate PEDV-YNPJ1-2022, complete genome
PV536118.1 Porcine epidemic diarrhea virus isolate PEDV-YNQW21-2023, partial genome
PV536117.1 Porcine epidemic diarrhea virus isolate PEDV-YNQW1-2023, partial genome
PV536119.1 Porcine epidemic diarrhea virus isolate PEDV-YNQW2-2023, partial genome
PV536120.1 Porcine epidemic diarrhea virus isolate PEDV-YNQW22-2023, partial genome
PV536121.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-YNQW24-2023, partial genome
PX229689.1 Porcine epidemic diarrhea virus isolate JS-SQTJ202206 spike protein gene, complete cds
MH991826.1 Porcine epidemic diarrhea virus strain A3-GD2016 S protein (S) gene, complete cds
MK532982.1 Porcine epidemic diarrhea virus strain A2-GD2016 spike protein (S) gene, complete cds
MZ161066.1 Porcine epidemic diarrhea virus strain CH/HBXY/12/2020 spike protein (S) gene, complete cds
OQ657293.1 Porcine epidemic diarrhea virus strain HNZK3 spike protein (S) gene, complete cds
PP395575.1 Porcine epidemic diarrhea virus strain SC2020GY spike protein (S) gene, complete cds
OP433743.1 Porcine epidemic diarrhea virus isolate S-GDCW spike protein (S) gene, complete cds
OP433733.1 Porcine epidemic diarrhea virus isolate S-GDHP spike protein (S) gene, complete cds
OP433740.1 Porcine epidemic diarrhea virus isolate S-GDENP spike protein (S) gene, complete cds
PQ631046.1 Porcine epidemic diarrhea virus isolate PEDV HLJHG, complete genome
OM948913.1 Porcine epidemic diarrhea virus isolate CH_SCZY02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OM948914.1 Porcine epidemic diarrhea virus isolate CH_SCZY03_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
PV523987.1 Porcine epidemic diarrhea virus isolate JS02-01-CN_2023 spike protein (S) gene, complete cds
PV523957.1 Porcine epidemic diarrhea virus isolate AH01-01-CN_2023 spike protein (S) gene, complete cds
PV523960.1 Porcine epidemic diarrhea virus isolate AH02-01-CN_2023 spike protein (S) gene, complete cds
PP842666.1 Porcine epidemic diarrhea virus isolate GX2021-20 spike glycoprotein gene, complete cds
MN368712.1 Porcine epidemic diarrhea virus isolate FJqz18 spike protein (S) gene, complete cds
PX229698.1 Porcine epidemic diarrhea virus isolate JS-SQMV2021 spike protein gene, complete cds
PX229694.1 Porcine epidemic diarrhea virus isolate JS-SQMV202106 spike protein gene, complete cds
MN893425.1 Porcine epidemic diarrhea virus isolate CH-HNZK-4-2017 spike glycoprotein gene, complete cds
PX229695.1 Porcine epidemic diarrhea virus isolate JS-SQMV202105 spike protein gene, complete cds
PX229696.1 Porcine epidemic diarrhea virus isolate JS-SQMV202104 spike protein gene, complete cds
MN412571.1 Porcine epidemic diarrhea virus strain SX-TY1/2017 S protein (S) gene, complete cds
PP580814.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-11 spike protein (S) gene, complete cds
PP580815.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-12 spike protein (S) gene, complete cds
PP580828.1 Porcine epidemic diarrhea virus isolate XJ2020 spike protein (S) gene, complete cds
OR085291.1 Porcine epidemic diarrhea virus isolate PEDV-XJTK1-2022, complete genome
OR085292.1 Porcine epidemic diarrhea virus isolate PEDV-XJTK3-2022, complete genome
OR085289.1 Porcine epidemic diarrhea virus isolate PEDV-XJJY7-2023, complete genome
OR085286.1 Porcine epidemic diarrhea virus isolate PEDV-XJJY14-2023, complete genome
OR085290.1 Porcine epidemic diarrhea virus isolate PEDV-XJJY17-2023, complete genome
OR085288.1 Porcine epidemic diarrhea virus isolate PEDV-XJJY5-2023, complete genome
OR085287.1 Porcine epidemic diarrhea virus isolate PEDV-XJJY6-2023, complete genome
PV536115.1 Porcine epidemic diarrhea virus isolate PEDV-XJTYQ11-2023, partial genome
PV536116.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-XJTYQ8-2023, partial genome
PP901948.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJTK spike protein (S) gene, partial cds
PV844375.1 Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
PP901945.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJFS spike protein (S) gene, partial cds
OL348059.1 Porcine epidemic diarrhea virus strain XJ1904-34, complete genome
OK642747.1 Porcine epidemic diarrhea virus isolate XJ1904-34 spike (S) gene, complete cds
PP901942.1 Porcine epidemic diarrhea virus isolate PEDV/CN/NMTL spike protein (S) gene, partial cds
PP901947.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJJM spike protein (S) gene, partial cds
PP901934.1 Porcine epidemic diarrhea virus isolate PEDV/CN/GSTS spike protein (S) gene, partial cds
PP901946.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJHTB spike protein (S) gene, partial cds
PP901951.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJZS spike protein (S) gene, partial cds
PP901944.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJCJ spike protein (S) gene, partial cds
MZ161015.1 Porcine epidemic diarrhea virus strain CH/SDNW/11/2020 spike protein (S) gene, complete cds
MZ161021.1 Porcine epidemic diarrhea virus strain CH/JXGZ/11/2020 spike protein (S) gene, complete cds
PP901933.1 Porcine epidemic diarrhea virus isolate PEDV/CN/GSQY spike protein (S) gene, partial cds
PP901949.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJWJQ/01 spike protein (S) gene, partial cds
PV536113.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-XJDB5-2023, partial genome
PV536114.1 Porcine epidemic diarrhea virus isolate PEDV-XJDB9-2023, partial genome
PP901950.1 Porcine epidemic diarrhea virus isolate PEDV/CN/XJWJQ/02 spike protein (S) gene, partial cds
OR085293.1 Porcine epidemic diarrhea virus isolate PEDV-XJWL1-2022, complete genome
OR085294.1 Porcine epidemic diarrhea virus isolate PEDV-XJWL2-2022, complete genome
OR804100.1 Porcine epidemic diarrhea virus strain CH/HNNY/2022 spike protein gene, complete cds
PV536100.1 Porcine epidemic diarrhea virus isolate PEDV-JLCG9-2024, partial genome
