strain	accession	clade	description
JQ771751.1	JQ771751.1	G2a	Porcine epidemic diarrhea virus strain SH S protein mRNA, complete cds
JQ771752.1	JQ771752.1	G2a	Porcine epidemic diarrhea virus strain ZB S protein mRNA, complete cds
JQ771753.1	JQ771753.1	G2a	Porcine epidemic diarrhea virus strain YS S protein mRNA, complete cds
JQ979289.1	JQ979289.1	G2a	Porcine epidemic diarrhea virus strain CH17-GZ spike protein (S) gene, complete cds
JQ979291.1	JQ979291.1	G2a	Porcine epidemic diarrhea virus strain CH18-Hainan spike protein (S) gene, complete cds
JX018182.1	JX018182.1	G2a	Porcine epidemic diarrhea virus isolate CH/AHHF-2/2012 spike protein gene, complete cds
JX018183.1	JX018183.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBSN/2012 spike protein gene, complete cds
JX070671.1	JX070671.1	G2a	Porcine epidemic diarrhea virus isolate CH/FJXM-1/2012 spike protein gene, complete cds
JX088695.1	JX088695.1	G2a	Porcine epidemic diarrhea virus strain GD-B, complete genome
JX163294.1	JX163294.1	G2a	Porcine epidemic diarrhea virus isolate HBMC2012 S protein (S) gene, complete cds
JX242459.1	JX242459.1	G2a	Porcine epidemic diarrhea virus isolate CH-SONGB-12-2011 spike protein gene, partial cds
JX242461.1	JX242461.1	G2a	Porcine epidemic diarrhea virus isolate CH-ZWC-12-2011 spike protein gene, partial cds
JX258672.1	JX258672.1	G2a	Porcine epidemic diarrhea virus strain FQ/FJ/2012 spike protein gene, complete cds
JX435298.1	JX435298.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2011-3 spike protein (S) mRNA, complete cds
JX435299.1	JX435299.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2012-1 spike protein (S) mRNA, complete cds
JX435300.1	JX435300.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2012-2 spike protein (S) mRNA, complete cds
JX435301.1	JX435301.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-4 spike protein (S) mRNA, complete cds
JX435302.1	JX435302.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-1 spike protein (S) mRNA, complete cds
JX435303.1	JX435303.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-2 spike protein (S) mRNA, complete cds
JX435304.1	JX435304.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-3 spike protein (S) mRNA, complete cds
JX435305.1	JX435305.1	G2a	Porcine epidemic diarrhea virus isolate HB-2012-4 spike protein (S) mRNA, complete cds
JX501317.1	JX501317.1	G2a	Porcine epidemic diarrhea virus isolate CH/CY/12 spike glycoprotein gene, complete cds
JX501319.1	JX501319.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBXX2/11 spike glycoprotein gene, complete cds
JX501320.1	JX501320.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBXX3/11 spike glycoprotein gene, complete cds
JX501321.1	JX501321.1	G2a	Porcine epidemic diarrhea virus isolate CH/TY/12 spike glycoprotein gene, complete cds
JX501322.1	JX501322.1	G2a	Porcine epidemic diarrhea virus isolate CH/XC/12 spike glycoprotein gene, complete cds
JX501323.1	JX501323.1	G2a	Porcine epidemic diarrhea virus isolate CH/XCYL/11 spike glycoprotein gene, complete cds
JX512907.1	JX512907.1	G2a	Porcine epidemic diarrhea virus strain HLJ-2012 spike protein gene, complete cds
JX524137.1	JX524137.1	G2a	Porcine epidemic diarrhea virus strain ZJCZ4, complete genome
KC140102.1	KC140102.1	G2a	Porcine epidemic diarrhea virus strain CH/FJZZ-9/2012, complete genome
KC196276.1	KC196276.1	G2a	Porcine epidemic diarrhea virus strain CH/ZMDZY/11, complete genome
KC210145.1	KC210145.1	G2a	Porcine epidemic diarrhea virus strain AH2012, complete genome
KC210147.1	KC210147.1	G2a	Porcine epidemic diarrhea virus strain JS-HZ2012, complete genome
KC242897.1	KC242897.1	G2a	Porcine epidemic diarrhea virus isolate FJZZ1-2011 spike protein gene, complete cds
KC242898.1	KC242898.1	G2a	Porcine epidemic diarrhea virus isolate HeN12-20122 spike protein gene, complete cds
KC242899.1	KC242899.1	G2a	Porcine epidemic diarrhea virus isolate HB1-20122 spike protein gene, complete cds
KC242900.1	KC242900.1	G2a	Porcine epidemic diarrhea virus isolate HB2-20122 spike protein gene, complete cds
KC242901.1	KC242901.1	G2a	Porcine epidemic diarrhea virus isolate AH2-20123 spike protein gene, complete cds
KC242902.1	KC242902.1	G2a	Porcine epidemic diarrhea virus isolate HB3-20123 spike protein gene, complete cds
KC242903.1	KC242903.1	G2a	Porcine epidemic diarrhea virus isolate ZJ17-20125 spike protein gene, complete cds
KC242904.1	KC242904.1	G2a	Porcine epidemic diarrhea virus isolate YN2-20127 spike protein gene, complete cds
KC242905.1	KC242905.1	G2a	Porcine epidemic diarrhea virus isolate FJ5-20128 spike protein gene, complete cds
KC242906.1	KC242906.1	G2a	Porcine epidemic diarrhea virus isolate FJZZ9-20128 spike protein gene, complete cds
KC242907.1	KC242907.1	G2a	Porcine epidemic diarrhea virus isolate JX4-20129 spike protein gene, complete cds
KC242908.1	KC242908.1	G2a	Porcine epidemic diarrhea virus isolate HN4-20129 spike protein gene, complete cds
KC242909.1	KC242909.1	G2a	Porcine epidemic diarrhea virus isolate GD5-20129 spike protein gene, complete cds
KC242910.1	KC242910.1	G2a	Porcine epidemic diarrhea virus isolate GD8-20129 spike protein gene, complete cds
KC242911.1	KC242911.1	G2a	Porcine epidemic diarrhea virus isolate HN6-201211 spike protein gene, complete cds
KC242912.1	KC242912.1	G2a	Porcine epidemic diarrhea virus isolate HN8-201211 spike protein gene, complete cds
KC787537.1	KC787537.1	G2a	Porcine epidemic diarrhea virus isolate CH-DLC-01-2013 spike protein gene, complete cds
KC787538.1	KC787538.1	G2a	Porcine epidemic diarrhea virus isolate CH-GGC-11-2012 spike protein gene, complete cds
KC787540.1	KC787540.1	G2a	Porcine epidemic diarrhea virus isolate CH-HGC-01-2013 spike protein gene, complete cds
KC787541.1	KC787541.1	G2a	Porcine epidemic diarrhea virus isolate CH-LNC-01-2012 spike protein gene, partial cds
KC787542.1	KC787542.1	G2a	Porcine epidemic diarrhea virus isolate CH-SBC-03-2013 spike protein gene, complete cds
KC787544.1	KC787544.1	G2a	Porcine epidemic diarrhea virus isolate CH-YGC-12-2012 spike protein gene, partial cds
KC787545.1	KC787545.1	G2a	Porcine epidemic diarrhea virus isolate CH-YXC-01-2013 spike protein gene, partial cds
KF177255.1	KF177255.1	G2a	Porcine epidemic diarrhea virus isolate JY6C spike protein (S) gene, complete cds
KF177256.1	KF177256.1	G2a	Porcine epidemic diarrhea virus isolate JY7C spike protein (S) gene, complete cds
KF177257.1	KF177257.1	G2a	Porcine epidemic diarrhea virus isolate YJ3F spike protein (S) gene, complete cds
KF177258.1	KF177258.1	G2a	Porcine epidemic diarrhea virus isolate YJ7C spike protein (S) gene, complete cds
KF294254.1	KF294254.1	G2a	Porcine epidemic diarrhea virus isolate HZXS-1 spike protein (S) gene, complete cds
KF294255.1	KF294255.1	G2a	Porcine epidemic diarrhea virus isolate HZXS-2 spike protein (S) gene, complete cds
KF294256.1	KF294256.1	G2a	Porcine epidemic diarrhea virus isolate GJL spike protein (S) gene, complete cds
KF453510.1	KF453510.1	G2a	Porcine epidemic diarrhea virus isolate AH120411 S protein gene, partial cds
KF453511.1	KF453511.1	G2a	Porcine epidemic diarrhea virus isolate GX120308 S protein gene, partial cds
KF453512.1	KF453512.1	G2a	Porcine epidemic diarrhea virus isolate HB121229 S protein gene, partial cds
KF453514.1	KF453514.1	G2a	Porcine epidemic diarrhea virus isolate SH120301 S protein gene, partial cds
KF453515.1	KF453515.1	G2a	Porcine epidemic diarrhea virus isolate SH121208 S protein gene, partial cds
KF453516.1	KF453516.1	G2a	Porcine epidemic diarrhea virus isolate ZJ110618 S protein gene, partial cds
KF453517.1	KF453517.1	G2a	Porcine epidemic diarrhea virus isolate ZJ111113 S protein gene, partial cds
KF468755.1	KF468755.1	G2a	Porcine epidemic diarrhea virus isolate XS2013 spike protein (S) gene, complete cds
KF546800.1	KF546800.1	G2a	Porcine epidemic diarrhea virus isolate GDFS/2011 spike protein (S) gene, complete cds
KF546801.1	KF546801.1	G2a	Porcine epidemic diarrhea virus isolate GDQY/2011 spike protein (S) gene, complete cds
KF546802.1	KF546802.1	G2a	Porcine epidemic diarrhea virus isolate GDDG/2011 spike protein (S) gene, complete cds
KF546803.1	KF546803.1	G2a	Porcine epidemic diarrhea virus isolate GDJM/2012 spike protein (S) gene, complete cds
KF546804.1	KF546804.1	G2a	Porcine epidemic diarrhea virus isolate GDZQ/2012 spike protein (S) gene, complete cds
KF577730.1	KF577730.1	G2a	Porcine epidemic diarrhea virus isolate YNKM/2012 spike protein (S) gene, complete cds
KF577731.1	KF577731.1	G2a	Porcine epidemic diarrhea virus isolate GDMZ/2013 spike protein (S) gene, complete cds
KF577732.1	KF577732.1	G2a	Porcine epidemic diarrhea virus isolate GDGZ/2013 spike protein (S) gene, complete cds
KF601195.1	KF601195.1	G2a	Porcine epidemic diarrhea virus isolate GXLZ/2013 spike protein (S) gene, complete cds
KF601196.1	KF601196.1	G2a	Porcine epidemic diarrhea virus isolate JXGZ/2013 spike protein (S) gene, complete cds
KF601198.1	KF601198.1	G2a	Porcine epidemic diarrhea virus isolate JXJA/2013 spike protein (S) gene, complete cds
KF601200.1	KF601200.1	G2a	Porcine epidemic diarrhea virus isolate GDEP/2013 spike protein (S) gene, complete cds
KF601201.1	KF601201.1	G2a	Porcine epidemic diarrhea virus isolate GXNN/2013 spike protein (S) gene, complete cds
KF738258.1	KF738258.1	G2a	Porcine epidemic diarrhea virus strain GD120330 spike protein gene, complete cds
KF738259.1	KF738259.1	G2a	Porcine epidemic diarrhea virus strain JS130604 spike protein gene, complete cds
KF738260.1	KF738260.1	G2a	Porcine epidemic diarrhea virus strain JX130506 spike protein gene, complete cds
KF738261.1	KF738261.1	G2a	Porcine epidemic diarrhea virus strain SD130502 spike protein gene, complete cds
KF738262.1	KF738262.1	G2a	Porcine epidemic diarrhea virus strain SD130611 spike protein gene, complete cds
KF738263.1	KF738263.1	G2a	Porcine epidemic diarrhea virus strain SH121229 spike protein gene, complete cds
KF738264.1	KF738264.1	G2a	Porcine epidemic diarrhea virus strain ZJ121030 spike protein gene, complete cds
KF760557.2	KF760557.2	G2a	Porcine epidemic diarrhea virus strain CH/JX-1/2013, complete genome
KF761675.1	KF761675.1	G2a	Porcine epidemic diarrhea virus strain CH/YNKM-8/2013, complete genome
KF840537.1	KF840537.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJCX-1/2012, complete genome
KF840538.1	KF840538.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJHY-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840539.1	KF840539.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJJS-Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840540.1	KF840540.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJJS-1Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840541.1	KF840541.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXZS-3H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840542.1	KF840542.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXZS-2H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds
KF840543.1	KF840543.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJXS212/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein, and nucleocapsid protein (N) genes, complete cds
KF840544.1	KF840544.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJHZHY-6/2013 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840545.1	KF840545.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXJDZ-F/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840546.1	KF840546.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJJS-2Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds
KF840547.1	KF840547.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXZS-3L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840548.1	KF840548.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXZS-1223L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840549.1	KF840549.1	G2a	Porcine epidemic diarrhea virus isolate CH/SDZD-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840550.1	KF840550.1	G2a	Porcine epidemic diarrhea virus isolate CH/SDZD-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840552.1	KF840552.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJQZ-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840553.1	KF840553.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJHZ-1C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840554.1	KF840554.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJHZ-2C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840555.1	KF840555.1	G2a	Porcine epidemic diarrhea virus isolate CH/JXJDZ-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840556.1	KF840556.1	G2a	Porcine epidemic diarrhea virus isolate CH/ZJJS-4X/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF840561.1	KF840561.1	G2a	Porcine epidemic diarrhea virus isolate CH/JSZL-S2/2013 spike protein (S) gene, complete cds
KF840562.1	KF840562.1	G2a	Porcine epidemic diarrhea virus isolate CH/JSZL-N2/2013 spike protein (S) gene, complete cds
KJ020932.1	KJ020932.1	G2a	Porcine epidemic diarrhea virus isolate CHYJ130330, complete genome
KJ196348.1	KJ196348.1	G2a	Porcine epidemic diarrhea virus strain SHQP/YM/2013, complete genome
KJ526096.1	KJ526096.1	G2a	Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome
KJ646578.1	KJ646578.1	G2a	Porcine epidemic diarrhea virus strain FJ-ZP 2013 spike protein (S) gene, complete cds
KJ646579.1	KJ646579.1	G2a	Porcine epidemic diarrhea virus strain FJ-CL 2013 spike protein (S) gene, complete cds
KJ646580.1	KJ646580.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ 2014 spike protein (S) gene, complete cds
KJ646581.1	KJ646581.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ1 2012 spike protein (S) gene, complete cds
KJ646582.1	KJ646582.1	G2a	Porcine epidemic diarrhea virus strain FJ-FQ2 2012 spike protein (S) gene, complete cds
KJ646583.1	KJ646583.1	G2a	Porcine epidemic diarrhea virus strain FJ-LY 2012 spike protein (S) gene, complete cds
KJ646584.1	KJ646584.1	G2a	Porcine epidemic diarrhea virus strain FJ-LY 2013 spike protein (S) gene, complete cds
KJ646585.1	KJ646585.1	G2a	Porcine epidemic diarrhea virus strain FJ-ND 2012 spike protein (S) gene, complete cds
KJ646586.1	KJ646586.1	G2a	Porcine epidemic diarrhea virus strain FJ-ND 2013 spike protein (S) gene, complete cds
KJ646587.1	KJ646587.1	G2a	Porcine epidemic diarrhea virus strain FJ-PT 2013 spike protein (S) gene, complete cds
KJ646588.1	KJ646588.1	G2a	Porcine epidemic diarrhea virus strain FJ-QK 2013 spike protein (S) gene, complete cds
KJ646589.1	KJ646589.1	G2a	Porcine epidemic diarrhea virus strain FJ-QZ 2013 spike protein (S) gene, complete cds
KJ646590.1	KJ646590.1	G2a	Porcine epidemic diarrhea virus strain FJ-YX 2013 spike protein (S) gene, complete cds
KJ646591.1	KJ646591.1	G2a	Porcine epidemic diarrhea virus strain FJ-ZP 2014 spike protein (S) gene, complete cds
KJ777677.1	KJ777677.1	G2a	Porcine epidemic diarrhea virus strain LZW isolate FGE_20140427, complete genome
KJ777678.1	KJ777678.1	G2a	Porcine epidemic diarrhea virus strain LZW isolate CPGEN_20140427, complete genome
KM213245.1	KM213245.1	G2a	Porcine epidemic diarrhea virus isolate ZJ13LY1201 S protein (S) gene, complete cds
KM225239.1	KM225239.1	G2a	Porcine epidemic diarrhea virus strain FJ63 spike protein (S) gene, complete cds
KM225240.1	KM225240.1	G2a	Porcine epidemic diarrhea virus strain FJ64 spike protein (S) gene, complete cds
KM225241.1	KM225241.1	G2a	Porcine epidemic diarrhea virus strain HN41 spike protein (S) gene, complete cds
KM225242.1	KM225242.1	G2a	Porcine epidemic diarrhea virus strain HN26 spike protein (S) gene, complete cds
KM225243.1	KM225243.1	G2a	Porcine epidemic diarrhea virus strain HN27 spike protein (S) gene, complete cds
KM225244.1	KM225244.1	G2a	Porcine epidemic diarrhea virus strain HN40 spike protein (S) gene, complete cds
KM225245.1	KM225245.1	G2a	Porcine epidemic diarrhea virus strain YN4-1 spike protein (S) gene, complete cds
KM242131.1	KM242131.1	G2a	Porcine epidemic diarrhea virus strain CH/GDZQ/2014, complete genome
KM287429.1	KM287429.1	G2a	Porcine epidemic diarrhea virus strain XJ-DB2 spike protein gene, complete cds
KM406178.1	KM406178.1	G2a	Porcine epidemic diarrhea virus strain LS1401 S protein (S) gene, complete cds
KM406179.1	KM406179.1	G2a	Porcine epidemic diarrhea virus strain MY1402 S protein (S) gene, complete cds
KM406180.1	KM406180.1	G2a	Porcine epidemic diarrhea virus strain DY1403 S protein (S) gene, complete cds
KM406181.1	KM406181.1	G2a	Porcine epidemic diarrhea virus strain SH1404 S protein (S) gene, complete cds
KM406182.1	KM406182.1	G2a	Porcine epidemic diarrhea virus strain MX1405 S protein (S) gene, complete cds
KM406183.1	KM406183.1	G2a	Porcine epidemic diarrhea virus strain PZ1406 S protein (S) gene, complete cds
KM406184.1	KM406184.1	G2a	Porcine epidemic diarrhea virus strain PJ1407 S protein (S) gene, complete cds
KM609203.1	KM609203.1	G2a	Porcine epidemic diarrhea virus strain PEDV-1C, complete genome
KM609205.1	KM609205.1	G2a	Porcine epidemic diarrhea virus strain PEDV-8C, complete genome
KM609207.1	KM609207.1	G2a	Porcine epidemic diarrhea virus strain PEDV-14, complete genome
KM609208.1	KM609208.1	G2a	Porcine epidemic diarrhea virus strain PEDV-15F, complete genome
KM609209.1	KM609209.1	G2a	Porcine epidemic diarrhea virus strain PEDV-CHZ, complete genome
KM609210.1	KM609210.1	G2a	Porcine epidemic diarrhea virus strain PEDV-LY, complete genome
KM609211.1	KM609211.1	G2a	Porcine epidemic diarrhea virus strain PEDV-LS, complete genome
KP399601.1	KP399601.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC-09-2014 S protein (S) gene, complete cds
KP399602.1	KP399602.1	G2a	Porcine epidemic diarrhea virus strain CH-YZC-10-2014 S protein (S) gene, complete cds
KP399603.1	KP399603.1	G2a	Porcine epidemic diarrhea virus strain CH-YZC-02-2014 S protein (S) gene, complete cds
KP399604.1	KP399604.1	G2a	Porcine epidemic diarrhea virus strain CH-XSC-04-2014 S protein (S) gene, complete cds
KP399605.1	KP399605.1	G2a	Porcine epidemic diarrhea virus strain CH-XLC-02-2014 S protein (S) gene, complete cds
KP399606.1	KP399606.1	G2a	Porcine epidemic diarrhea virus strain CH-STC-09-2014 S protein (S) gene, complete cds
KP399608.1	KP399608.1	G2a	Porcine epidemic diarrhea virus strain CH-LNC-10-2014 S protein (S) gene, complete cds
KP399609.1	KP399609.1	G2a	Porcine epidemic diarrhea virus strain CH-JKC-07-2014 S protein (S) gene, complete cds
KP399610.1	KP399610.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC-06-2013 S protein (S) gene, complete cds
KP399611.1	KP399611.1	G2a	Porcine epidemic diarrhea virus strain CH-YGC-11-2013 S protein (S) gene, complete cds
KP399612.1	KP399612.1	G2a	Porcine epidemic diarrhea virus strain CH-XSC-04-2013 S protein (S) gene, complete cds
KP399613.1	KP399613.1	G2a	Porcine epidemic diarrhea virus strain CH-XNC-04-2013 S protein (S) gene, complete cds
KP399617.1	KP399617.1	G2a	Porcine epidemic diarrhea virus strain CH-SMC-08-2013 S protein (S) gene, complete cds
KP399618.1	KP399618.1	G2a	Porcine epidemic diarrhea virus strain CH-SMC-03-2013 S protein (S) gene, complete cds
KP399620.1	KP399620.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-01-2013 S protein (S) gene, complete cds
KP399622.1	KP399622.1	G2a	Porcine epidemic diarrhea virus strain CH-LXC-02-2013 S protein (S) gene, complete cds
KP399623.1	KP399623.1	G2a	Porcine epidemic diarrhea virus strain CH-HSYEC-09-2013 S protein (S) gene, complete cds
KP399625.1	KP399625.1	G2a	Porcine epidemic diarrhea virus strain CH-HFEC-08-2013 S protein (S) gene, complete cds
KP399626.1	KP399626.1	G2a	Porcine epidemic diarrhea virus strain CH-HBC-02-2013 S protein (S) gene, complete cds
KP399627.1	KP399627.1	G2a	Porcine epidemic diarrhea virus strain CH-CWC-10-2013 S protein (S) gene, complete cds
KP399629.1	KP399629.1	G2a	Porcine epidemic diarrhea virus strain CH-BPKFC-07-2013 S protein (S) gene, complete cds
KP399630.1	KP399630.1	G2a	Porcine epidemic diarrhea virus strain CH-LNC-12-2012 S protein (S) gene, complete cds
KP399631.1	KP399631.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWC1-12-2011 S protein (S) gene, complete cds
KP399633.1	KP399633.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-12-2011 S protein (S) gene, complete cds
KP399634.1	KP399634.1	G2a	Porcine epidemic diarrhea virus strain CH-LCC-02-2011 S protein (S) gene, complete cds
KP698751.1	KP698751.1	G2a	Porcine epidemic diarrhea virus isolate GD1 spike gene, complete cds
KP698752.2	KP698752.2	G2a	Porcine epidemic diarrhea virus isolate GD2 spike gene, complete cds
KP698753.1	KP698753.1	G2a	Porcine epidemic diarrhea virus isolate GD3 spike gene, complete cds
KP698754.2	KP698754.2	G2a	Porcine epidemic diarrhea virus isolate GD4 spike gene, complete cds
KP698755.2	KP698755.2	G2a	Porcine epidemic diarrhea virus isolate GD5 spike gene, complete cds
KP698756.2	KP698756.2	G2a	Porcine epidemic diarrhea virus isolate GD6 spike gene, complete cds
KP698757.1	KP698757.1	G2a	Porcine epidemic diarrhea virus isolate GD7 spike gene, complete cds
KP698758.1	KP698758.1	G2a	Porcine epidemic diarrhea virus isolate GD8 spike gene, complete cds
KP698762.2	KP698762.2	G2a	Porcine epidemic diarrhea virus isolate GD12 spike gene, complete cds
KP698764.2	KP698764.2	G2a	Porcine epidemic diarrhea virus isolate GD14 spike gene, complete cds
KP698765.2	KP698765.2	G2a	Porcine epidemic diarrhea virus isolate GD15 spike gene, complete cds
KP698766.2	KP698766.2	G2a	Porcine epidemic diarrhea virus isolate GD16 spike gene, complete cds
KP698768.2	KP698768.2	G2a	Porcine epidemic diarrhea virus isolate GD18 spike gene, complete cds
KP698770.1	KP698770.1	G2a	Porcine epidemic diarrhea virus isolate GD20 spike gene, complete cds
KP870114.1	KP870114.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-02/2012 spike protein (S) gene, complete cds
KP870116.1	KP870116.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-04/2012 spike protein (S) gene, complete cds
KP870124.1	KP870124.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-14/2013 spike protein (S) gene, complete cds
KP870126.1	KP870126.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-16/2013 spike protein (S) gene, complete cds
KP870133.1	KP870133.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-23/2014 spike protein (S) gene, complete cds
KP870134.1	KP870134.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-24/2014 spike protein (S) gene, complete cds
KP870135.1	KP870135.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-25/2014 spike protein (S) gene, complete cds
KP870137.1	KP870137.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-27/2014 spike protein (S) gene, complete cds
