accession	description	source_file	line_no	clade	source_header	raw_date	reason
KF453514.1	Porcine epidemic diarrhea virus isolate SH120301 S protein gene, partial cds	G2achinanew.txt	178	G2a	KF453514.1|SH120301|01-Mar-2012|China	01-Mar-2012	missing_or_unparseable_date
KF453515.1	Porcine epidemic diarrhea virus isolate SH121208 S protein gene, partial cds	G2achinanew.txt	507	G2a	KF453515.1|SH121208|08-Dec-2012|China	08-Dec-2012	missing_or_unparseable_date
KF453516.1	Porcine epidemic diarrhea virus isolate ZJ110618 S protein gene, partial cds	G2achinanew.txt	12	G2a	KF453516.1|ZJ110618|18-Jun-2011|China	18-Jun-2011	missing_or_unparseable_date
KF453517.1	Porcine epidemic diarrhea virus isolate ZJ111113 S protein gene, partial cds	G2achinanew.txt	320	G2a	KF453517.1|ZJ111113|13-Nov-2011|China	13-Nov-2011	missing_or_unparseable_date
KF546800.1	Porcine epidemic diarrhea virus isolate GDFS/2011 spike protein (S) gene, complete cds	G2achinanew.txt	85	G2a	KF546800.1|GDFS/2011|07-Jul-2012|China	07-Jul-2012	missing_or_unparseable_date
KF546801.1	Porcine epidemic diarrhea virus isolate GDQY/2011 spike protein (S) gene, complete cds	G2achinanew.txt	223	G2a	KF546801.1|GDQY/2011|07-Jul-2012|China	07-Jul-2012	missing_or_unparseable_date
KF546802.1	Porcine epidemic diarrhea virus isolate GDDG/2011 spike protein (S) gene, complete cds	G2achinanew.txt	447	G2a	KF546802.1|GDDG/2011|07-Jul-2012|China	07-Jul-2012	missing_or_unparseable_date
KF546803.1	Porcine epidemic diarrhea virus isolate GDJM/2012 spike protein (S) gene, complete cds	G2achinanew.txt	390	G2a	KF546803.1|GDJM/2012|07-Jul-2012|China	07-Jul-2012	missing_or_unparseable_date
KF546804.1	Porcine epidemic diarrhea virus isolate GDZQ/2012 spike protein (S) gene, complete cds	G2achinanew.txt	383	G2a	KF546804.1|GDZQ/2012|07-Jul-2012|China	07-Jul-2012	missing_or_unparseable_date
KF577730.1	Porcine epidemic diarrhea virus isolate YNKM/2012 spike protein (S) gene, complete cds	G2achinanew.txt	364	G2a	KF577730.1|YNKM/2012|14-Feb-2013|China	14-Feb-2013	missing_or_unparseable_date
KF577731.1	Porcine epidemic diarrhea virus isolate GDMZ/2013 spike protein (S) gene, complete cds	G2achinanew.txt	717	G2a	KF577731.1|GDMZ/2013|14-Feb-2013|China	14-Feb-2013	missing_or_unparseable_date
KF577732.1	Porcine epidemic diarrhea virus isolate GDGZ/2013 spike protein (S) gene, complete cds	G2achinanew.txt	277	G2a	KF577732.1|GDGZ/2013|14-Feb-2013|China	14-Feb-2013	missing_or_unparseable_date
KF601195.1	Porcine epidemic diarrhea virus isolate GXLZ/2013 spike protein (S) gene, complete cds	G2achinanew.txt	577	G2a	KF601195.1|GXLZ/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF601196.1	Porcine epidemic diarrhea virus isolate JXGZ/2013 spike protein (S) gene, complete cds	G2achinanew.txt	336	G2a	KF601196.1|JXGZ/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF601198.1	Porcine epidemic diarrhea virus isolate JXJA/2013 spike protein (S) gene, complete cds	G2achinanew.txt	419	G2a	KF601198.1|JXJA/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF601200.1	Porcine epidemic diarrhea virus isolate GDEP/2013 spike protein (S) gene, complete cds	G2achinanew.txt	656	G2a	KF601200.1|GDEP/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF601201.1	Porcine epidemic diarrhea virus isolate GXNN/2013 spike protein (S) gene, complete cds	G2achinanew.txt	649	G2a	KF601201.1|GXNN/2013|18-Apr-2013|China	18-Apr-2013	missing_or_unparseable_date
KF738258.1	Porcine epidemic diarrhea virus strain GD120330 spike protein gene, complete cds	G2achinanew.txt	525	G2a	KF738258.1|GD120330|30-May-2012|China	30-May-2012	missing_or_unparseable_date
KF738259.1	Porcine epidemic diarrhea virus strain JS130604 spike protein gene, complete cds	G2achinanew.txt	615	G2a	KF738259.1|JS130604|04-Jun-2013|China	04-Jun-2013	missing_or_unparseable_date
KF738260.1	Porcine epidemic diarrhea virus strain JX130506 spike protein gene, complete cds	G2achinanew.txt	341	G2a	KF738260.1|JX130506|06-May-2013|China	06-May-2013	missing_or_unparseable_date
KF738261.1	Porcine epidemic diarrhea virus strain SD130502 spike protein gene, complete cds	G2achinanew.txt	639	G2a	KF738261.1|SD130502|13-May-2013|China	13-May-2013	missing_or_unparseable_date
KF738262.1	Porcine epidemic diarrhea virus strain SD130611 spike protein gene, complete cds	G2achinanew.txt	288	G2a	KF738262.1|SD130611|11-Jun-2013|China	11-Jun-2013	missing_or_unparseable_date
KF738263.1	Porcine epidemic diarrhea virus strain SH121229 spike protein gene, complete cds	G2achinanew.txt	133	G2a	KF738263.1|SH121229|29-Dec-2012|China	29-Dec-2012	missing_or_unparseable_date
KF738264.1	Porcine epidemic diarrhea virus strain ZJ121030 spike protein gene, complete cds	G2achinanew.txt	38	G2a	KF738264.1|ZJ121030|30-Oct-2012|China	30-Oct-2012	missing_or_unparseable_date
KF761675.1	Porcine epidemic diarrhea virus strain CH/YNKM-8/2013, complete genome	G2achinanew.txt	124	G2a	KF761675.1|CH/YNKM-8/2013|20-Sep-2013|China	20-Sep-2013	missing_or_unparseable_date
KF840537.1	Porcine epidemic diarrhea virus isolate CH/ZJCX-1/2012, complete genome	G2achinanew.txt	651	G2a	KF840537.1|CH/ZJCX-1/2012|04-Mar-2012|China	04-Mar-2012	missing_or_unparseable_date
KF840538.1	Porcine epidemic diarrhea virus isolate CH/ZJHY-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	640	G2a	KF840538.1|CH/ZJHY-2/2012|12-Feb-2012|China	12-Feb-2012	missing_or_unparseable_date
KF840539.1	Porcine epidemic diarrhea virus isolate CH/ZJJS-Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	312	G2a	KF840539.1|CH/ZJJS-Z/2012|02-May-2012|China	02-May-2012	missing_or_unparseable_date
KF840540.1	Porcine epidemic diarrhea virus isolate CH/ZJJS-1Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	55	G2a	KF840540.1|CH/ZJJS-1Z/2012|14-Feb-2012|China	14-Feb-2012	missing_or_unparseable_date
KF840541.1	Porcine epidemic diarrhea virus isolate CH/JXZS-3H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	684	G2a	KF840541.1|CH/JXZS-3H/2012|21-Mar-2012|China	21-Mar-2012	missing_or_unparseable_date
KF840542.1	Porcine epidemic diarrhea virus isolate CH/JXZS-2H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds	G2achinanew.txt	216	G2a	KF840542.1|CH/JXZS-2H/2012|21-Mar-2012|China	21-Mar-2012	missing_or_unparseable_date
KF840543.1	Porcine epidemic diarrhea virus isolate CH/ZJXS212/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein, and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	186	G2a	KF840543.1|CH/ZJXS212/2012|12-Feb-2012|China	12-Feb-2012	missing_or_unparseable_date
KF840544.1	Porcine epidemic diarrhea virus isolate CH/ZJHZHY-6/2013 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	570	G2a	KF840544.1|CH/ZJHZHY-6/2013|20-Feb-2013|China	20-Feb-2013	missing_or_unparseable_date
KF840545.1	Porcine epidemic diarrhea virus isolate CH/JXJDZ-F/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	117	G2a	KF840545.1|CH/JXJDZ-F/2012|22-Mar-2012|China	22-Mar-2012	missing_or_unparseable_date
KF840546.1	Porcine epidemic diarrhea virus isolate CH/ZJJS-2Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds	G2achinanew.txt	317	G2a	KF840546.1|CH/ZJJS-2Z/2012|12-Feb-2012|China	12-Feb-2012	missing_or_unparseable_date
KF840547.1	Porcine epidemic diarrhea virus isolate CH/JXZS-3L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	196	G2a	KF840547.1|CH/JXZS-3L|21-Mar-2012|China	21-Mar-2012	missing_or_unparseable_date
KF840548.1	Porcine epidemic diarrhea virus isolate CH/JXZS-1223L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	467	G2a	KF840548.1|CH/JXZS-1223L|21-Mar-2012|China	21-Mar-2012	missing_or_unparseable_date
KF840549.1	Porcine epidemic diarrhea virus isolate CH/SDZD-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	359	G2a	KF840549.1|CH/SDZD-1/2012|26-Apr-2012|China	26-Apr-2012	missing_or_unparseable_date
KF840550.1	Porcine epidemic diarrhea virus isolate CH/SDZD-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	209	G2a	KF840550.1|CH/SDZD-2/2012|26-Apr-2012|China	26-Apr-2012	missing_or_unparseable_date
KF840552.1	Porcine epidemic diarrhea virus isolate CH/ZJQZ-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	335	G2a	KF840552.1|CH/ZJQZ-2/2012|04-May-2012|China	04-May-2012	missing_or_unparseable_date
KF840553.1	Porcine epidemic diarrhea virus isolate CH/ZJHZ-1C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	132	G2a	KF840553.1|CH/ZJHZ-1C/2012|27-Apr-2012|China	27-Apr-2012	missing_or_unparseable_date
KF840554.1	Porcine epidemic diarrhea virus isolate CH/ZJHZ-2C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	565	G2a	KF840554.1|CH/ZJHZ-2C/2012|27-Apr-2012|China	27-Apr-2012	missing_or_unparseable_date
KF840555.1	Porcine epidemic diarrhea virus isolate CH/JXJDZ-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	149	G2a	KF840555.1|CH/JXJDZ-1/2012|22-Mar-2012|China	22-Mar-2012	missing_or_unparseable_date
KF840556.1	Porcine epidemic diarrhea virus isolate CH/ZJJS-4X/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	G2achinanew.txt	618	G2a	KF840556.1|CH/ZJJS-4X/2012|08-Mar-2012|China	08-Mar-2012	missing_or_unparseable_date
KF840561.1	Porcine epidemic diarrhea virus isolate CH/JSZL-S2/2013 spike protein (S) gene, complete cds	G2achinanew.txt	175	G2a	KF840561.1|CH/JSZL-S2/2013|20-Jul-2013|China	20-Jul-2013	missing_or_unparseable_date
KF840562.1	Porcine epidemic diarrhea virus isolate CH/JSZL-N2/2013 spike protein (S) gene, complete cds	G2achinanew.txt	588	G2a	KF840562.1|CH/JSZL-N2/2013|20-Jul-2013|China	20-Jul-2013	missing_or_unparseable_date
KJ196348.1	Porcine epidemic diarrhea virus strain SHQP/YM/2013, complete genome	G2achinanew.txt	527	G2a	KJ196348.1|SHQP/YM/2013|05-Feb-2013|China	05-Feb-2013	missing_or_unparseable_date
KM225239.1	Porcine epidemic diarrhea virus strain FJ63 spike protein (S) gene, complete cds	G2achinanew.txt	648	G2a	KM225239.1|FJ63|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225240.1	Porcine epidemic diarrhea virus strain FJ64 spike protein (S) gene, complete cds	G2achinanew.txt	54	G2a	KM225240.1|FJ64|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225241.1	Porcine epidemic diarrhea virus strain HN41 spike protein (S) gene, complete cds	G2achinanew.txt	110	G2a	KM225241.1|HN41|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225242.1	Porcine epidemic diarrhea virus strain HN26 spike protein (S) gene, complete cds	G2achinanew.txt	22	G2a	KM225242.1|HN26|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225243.1	Porcine epidemic diarrhea virus strain HN27 spike protein (S) gene, complete cds	G2achinanew.txt	111	G2a	KM225243.1|HN27|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225244.1	Porcine epidemic diarrhea virus strain HN40 spike protein (S) gene, complete cds	G2achinanew.txt	220	G2a	KM225244.1|HN40|15-Jun-2014|China	15-Jun-2014	missing_or_unparseable_date
KM225245.1	Porcine epidemic diarrhea virus strain YN4-1 spike protein (S) gene, complete cds	G2achinanew.txt	375	G2a	KM225245.1|YN4-1|21-Aug-2012|China	21-Aug-2012	missing_or_unparseable_date
KM406178.1	Porcine epidemic diarrhea virus strain LS1401 S protein (S) gene, complete cds	G2achinanew.txt	290	G2a	KM406178.1|LS1401|NA|China	N/A	missing_or_unparseable_date
KM609205.1	Porcine epidemic diarrhea virus strain PEDV-8C, complete genome	G2achinanew.txt	466	G2a	KM609205.1|PEDV-8C|NA|China	N/A	missing_or_unparseable_date
KR095279.1	Porcine epidemic diarrhea virus strain CH/HNQX-3/14, complete genome	G2achinanew.txt	188	G2a	KR095279.1|CH/HNQX-3/14|27-Jan-2015|China	27-Jan-2015	missing_or_unparseable_date
KR514318.1	Porcine epidemic diarrhea virus isolate CH/NMG/CF spike protein gene, complete cds	G2achinanew.txt	222	G2a	KR514318.1|CH/NMG/CF|24-Jan-2013|China	24-Jan-2013	missing_or_unparseable_date
KR514319.1	Porcine epidemic diarrhea virus isolate CH/NMG/EEDS spike protein gene, complete cds	G2achinanew.txt	46	G2a	KR514319.1|CH/NMG/EEDS|15-May-2013|China	15-May-2013	missing_or_unparseable_date
KR514320.1	Porcine epidemic diarrhea virus isolate CH/NMG/HHHT spike protein gene, complete cds	G2achinanew.txt	514	G2a	KR514320.1|CH/NMG/HHHT|14-Jan-2013|China	14-Jan-2013	missing_or_unparseable_date
KR514321.1	Porcine epidemic diarrhea virus isolate CH/NMG/HLBE spike protein gene, complete cds	G2achinanew.txt	69	G2a	KR514321.1|CH/NMG/HLBE|14-Jan-2014|China	14-Jan-2014	missing_or_unparseable_date
KT239506.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHFY-2 spike protein-like gene, complete sequence	G2achinanew.txt	530	G2a	KT239506.1|AHFY-2|NA|China	N/A	missing_or_unparseable_date
KT239508.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHXC-1 spike protein-like gene, complete sequence	G2achinanew.txt	74	G2a	KT239508.1|AHXC-1|NA|China	N/A	missing_or_unparseable_date
KT239509.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-1 spike protein-like gene, complete sequence	G2achinanew.txt	703	G2a	KT239509.1|AHHF-1|NA|China	N/A	missing_or_unparseable_date
KT239510.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-2 spike protein-like gene, complete sequence	G2achinanew.txt	546	G2a	KT239510.1|AHHF-2|NA|China	N/A	missing_or_unparseable_date
KT239514.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHBB-2 spike protein-like gene, complete sequence	G2achinanew.txt	526	G2a	KT239514.1|AHBB-2|NA|China	N/A	missing_or_unparseable_date
KT239515.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHMAS-1 spike protein-like gene, complete sequence	G2achinanew.txt	679	G2a	KT239515.1|AHMAS-1|NA|China	N/A	missing_or_unparseable_date
KT239517.1	UNVERIFIED: Porcine epidemic diarrhea virus strain AHAQ-1 spike protein-like gene, complete sequence	G2achinanew.txt	460	G2a	KT239517.1|AHAQ-1|NA|China	N/A	missing_or_unparseable_date
KT239520.1	UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-1 spike protein-like gene, complete sequence	G2achinanew.txt	511	G2a	KT239520.1|JXJJ-1|NA|China	N/A	missing_or_unparseable_date
KT239521.1	UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-2 spike protein-like gene, complete sequence	G2achinanew.txt	213	G2a	KT239521.1|JXJJ-2|NA|China	N/A	missing_or_unparseable_date
KT239522.1	UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-1 spike protein-like gene, complete sequence	G2achinanew.txt	702	G2a	KT239522.1|JXXY-1|NA|China	N/A	missing_or_unparseable_date
KT239523.1	UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-2 spike protein-like gene, complete sequence	G2achinanew.txt	625	G2a	KT239523.1|JXXY-2|NA|China	N/A	missing_or_unparseable_date
KT313036.1	Porcine epidemic diarrhea virus isolate PEDV2-S-5 spike protein (S) gene, complete cds	G2achinanew.txt	675	G2a	KT313036.1|PEDV2-S-5|20-May-2015|China	20-May-2015	missing_or_unparseable_date
KT313037.1	Porcine epidemic diarrhea virus isolate PEDV3-S-1 spike protein (S) gene, complete cds	G2achinanew.txt	310	G2a	KT313037.1|PEDV3-S-1|12-May-2015|China	12-May-2015	missing_or_unparseable_date
KT313038.1	Porcine epidemic diarrhea virus isolate PEDV4-S-3 spike protein (S) gene, complete cds	G2achinanew.txt	515	G2a	KT313038.1|PEDV4-S-3|02-Jun-2015|China	02-Jun-2015	missing_or_unparseable_date
KT313039.1	Porcine epidemic diarrhea virus isolate PEDV1-S-4 spike protein (S) gene, complete cds	G2achinanew.txt	718	G2a	KT313039.1|PEDV1-S-4|17-Oct-2014|China	17-Oct-2014	missing_or_unparseable_date
KT323980.1	Porcine epidemic diarrhea virus strain LNCT2, complete genome	G2achinanew.txt	333	G2a	KT323980.1|LNCT2|11-Sep-2014|China	11-Sep-2014	missing_or_unparseable_date
KT388411.1	Porcine epidemic diarrhea virus isolate CH-XWC-2014 spike glycoprotein gene, complete cds	G2achinanew.txt	407	G2a	KT388411.1|CH-XWC-2014|20-Mar-2014|China	20-Mar-2014	missing_or_unparseable_date
KT388415.1	Porcine epidemic diarrhea virus isolate CH-TPC-2014 spike glycoprotein gene, complete cds	G2achinanew.txt	294	G2a	KT388415.1|CH-TPC-2014|17-Dec-2014|China	17-Dec-2014	missing_or_unparseable_date
KT388416.1	Porcine epidemic diarrhea virus isolate CH-STC-2014 spike glycoprotein gene, complete cds	G2achinanew.txt	229	G2a	KT388416.1|CH-STC-2014|10-Dec-2014|China	10-Dec-2014	missing_or_unparseable_date
KT388417.1	Porcine epidemic diarrhea virus isolate CH-SBC-2013 spike glycoprotein gene, complete cds	G2achinanew.txt	537	G2a	KT388417.1|CH-SBC-2013|13-Sep-2013|China	13-Sep-2013	missing_or_unparseable_date
KT388418.1	Porcine epidemic diarrhea virus isolate CH-LXC-2014 spike glycoprotein gene, complete cds	G2achinanew.txt	592	G2a	KT388418.1|CH-LXC-2014|05-Nov-2014|China	05-Nov-2014	missing_or_unparseable_date
KT388419.1	Porcine epidemic diarrhea virus isolate CH-HSY-2013 spike glycoprotein gene, complete cds	G2achinanew.txt	724	G2a	KT388419.1|CH-HSY-2013|15-Jan-2013|China	15-Jan-2013	missing_or_unparseable_date
KT948011.1	Porcine epidemic diarrhea virus isolate CH-CWC-2013 spike protein gene, partial cds	G2achinanew.txt	662	G2a	KT948011.1|CH-CWC-2013|09-Jan-2013|China	09-Jan-2013	missing_or_unparseable_date
KU133232.1	Porcine epidemic diarrhea virus isolate CH-SDBZ-1-2015 spike protein (S) gene, complete cds	G2achinanew.txt	377	G2a	KU133232.1|CH-SDBZ-1-2015|29-Apr-2014|China	29-Apr-2014	missing_or_unparseable_date
KU133233.1	Porcine epidemic diarrhea virus isolate CH-SDBZ-2-2015 spike protein (S) gene, complete cds	G2achinanew.txt	488	G2a	KU133233.1|CH-SDBZ-2-2015|14-Apr-2014|China	14-Apr-2014	missing_or_unparseable_date
KU133235.1	Porcine epidemic diarrhea virus isolate CH-SDCQ-2015 spike protein (S) gene, complete cds	G2achinanew.txt	393	G2a	KU133235.1|CH-SDCQ-2015|08-May-2015|China	08-May-2015	missing_or_unparseable_date
KU133237.1	Porcine epidemic diarrhea virus isolate CH-SDDP-2-2014 spike protein (S) gene, complete cds	G2achinanew.txt	450	G2a	KU133237.1|CH-SDDP-2-2014|01-Apr-2014|China	01-Apr-2014	missing_or_unparseable_date
KU133239.1	Porcine epidemic diarrhea virus isolate CH-SDDY-2012 spike protein (S) gene, complete cds	G2achinanew.txt	698	G2a	KU133239.1|CH-SDDY-2012|17-Mar-2012|China	17-Mar-2012	missing_or_unparseable_date
KU133240.1	Porcine epidemic diarrhea virus isolate CH-SDDZ-2012 spike protein (S) gene, complete cds	G2achinanew.txt	129	G2a	KU133240.1|CH-SDDZ-2012|05-Jan-2012|China	05-Jan-2012	missing_or_unparseable_date
KU133241.1	Porcine epidemic diarrhea virus isolate CH-SDHZ-1-2013 spike protein (S) gene, complete cds	G2achinanew.txt	454	G2a	KU133241.1|CH-SDHZ-1-2013|07-Apr-2013|China	07-Apr-2013	missing_or_unparseable_date
KU133242.1	Porcine epidemic diarrhea virus isolate CH-SDHZ-2-2013 spike protein (S) gene, complete cds	G2achinanew.txt	606	G2a	KU133242.1|CH-SDHZ-2-2013|07-Apr-2013|China	07-Apr-2013	missing_or_unparseable_date
KU133243.1	Porcine epidemic diarrhea virus isolate CH-SDHZ-3-2013 spike protein (S) gene, complete cds	G2achinanew.txt	633	G2a	KU133243.1|CH-SDHZ-3-2013|06-Feb-2013|China	06-Feb-2013	missing_or_unparseable_date
KU133244.1	Porcine epidemic diarrhea virus isolate CH-SDHZ-4-2013 spike protein (S) gene, complete cds	G2achinanew.txt	87	G2a	KU133244.1|CH-SDHZ-4-2013|07-Apr-2013|China	07-Apr-2013	missing_or_unparseable_date
KU133245.1	Porcine epidemic diarrhea virus isolate CH-SDJY-2012 spike protein (S) gene, complete cds	G2achinanew.txt	93	G2a	KU133245.1|CH-SDJY-2012|06-Mar-2012|China	06-Mar-2012	missing_or_unparseable_date
KU133246.1	Porcine epidemic diarrhea virus isolate CH-SDLQ-2015 spike protein (S) gene, complete cds	G2achinanew.txt	190	G2a	KU133246.1|CH-SDLQ-2015|23-Apr-2015|China	23-Apr-2015	missing_or_unparseable_date
KU133249.1	Porcine epidemic diarrhea virus isolate CH-SDLY-1-2012 spike protein (S) gene, complete cds	G2achinanew.txt	416	G2a	KU133249.1|CH-SDLY-1-2012|09-Feb-2012|China	09-Feb-2012	missing_or_unparseable_date
KU133252.1	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2012 spike protein (S) gene, complete cds	G2achinanew.txt	29	G2a	KU133252.1|CH-SDLY-2-2012|05-Mar-2012|China	05-Mar-2012	missing_or_unparseable_date
KU133253.1	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2013 spike protein (S) gene, complete cds	G2achinanew.txt	612	G2a	KU133253.1|CH-SDLY-2-2013|26-Dec-2013|China	26-Dec-2013	missing_or_unparseable_date
KU133260.1	Porcine epidemic diarrhea virus isolate CH-SDQF-5-2014 spike protein (S) gene, complete cds	G2achinanew.txt	457	G2a	KU133260.1|CH-SDQF-5-2014|04-Apr-2014|China	04-Apr-2014	missing_or_unparseable_date
