MH726393.1 Porcine epidemic diarrhea virus isolate GDS14, complete genome
JX261936.1 Porcine epidemic diarrhea virus strain CHGD-01, complete genome
OQ437174.1 Porcine epidemic diarrhea virus strain YNLP/2022, complete genome
MH726388.1 Porcine epidemic diarrhea virus isolate GDS36, complete genome
MH726389.1 Porcine epidemic diarrhea virus isolate GDS39, complete genome
OP894120.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate PEDV SD/2020, complete genome
KP870119.1 Porcine epidemic diarrhea virus isolate CH/GD-07/2012 spike protein (S) gene, complete cds
KP870129.1 Porcine epidemic diarrhea virus isolate CH/GD-19/2013 spike protein (S) gene, complete cds
KP870130.1 Porcine epidemic diarrhea virus isolate CH/GD-20/2013 spike protein (S) gene, complete cds
KP870139.1 Porcine epidemic diarrhea virus isolate CH/GD-29/2014 spike protein (S) gene, complete cds
KP765609.1 Porcine epidemic diarrhea virus strain FL2013, complete genome
MH726392.1 Porcine epidemic diarrhea virus isolate GDS44, complete genome
OR479075.1 Porcine epidemic diarrhea virus isolate CH/GX2101 spike protein (S) gene, complete cds
MH726390.1 Porcine epidemic diarrhea virus isolate GDS40, complete genome
MH726391.1 Porcine epidemic diarrhea virus isolate GDS15, complete genome
OR479072.1 Porcine epidemic diarrhea virus isolate CH/GD2101 spike protein (S) gene, complete cds
MN759311.1 Porcine epidemic diarrhea virus strain GD-XL-2019, complete genome
KM089829.1 Porcine epidemic diarrhea virus strain GDS01, complete genome
ON649885.1 Porcine epidemic diarrhea virus strain JS-B, complete genome
OP287015.1 Porcine epidemic diarrhea virus isolate JS-A, complete genome
MH748550.1 Porcine epidemic diarrhea virus strain PEDV JS-A, complete genome
MW386982.1 Porcine epidemic diarrhea virus isolate JX2020, complete genome
OQ589489.1 Porcine epidemic diarrhea virus strain attenuated AJ1102-R, complete genome
MK584552.1 Porcine epidemic diarrhea virus strain AJ1102(F12), complete genome
PX482649.1 Porcine epidemic diarrhea virus isolate CH-SWM-LS, complete genome
MZ161078.1 Porcine epidemic diarrhea virus strain CH/SCYT/05/2020 spike protein (S) gene, complete cds
MW145530.1 Porcine epidemic diarrhea virus strain CH/SCMY-2/2019 spike protein (S) gene, complete cds
PV523941.1 Porcine epidemic diarrhea virus isolate AH02-04-CN_2024 spike protein (S) gene, complete cds
PV523942.1 Porcine epidemic diarrhea virus isolate GX03-05-CN_2024 spike protein (S) gene, complete cds
PV695983.1 Porcine epidemic diarrhea virus isolate HB-2024, complete genome
MZ161037.1 Porcine epidemic diarrhea virus strain CH/SCCN/08/2020 spike protein (S) gene, complete cds
PX229706.1 Porcine epidemic diarrhea virus isolate JS-CZYZ202201 spike protein gene, partial cds
PV164728.1 Porcine epidemic diarrhea virus isolate PEDV ZJ23TZ0201-01 spike protein (S) gene, complete cds
OR479078.1 Porcine epidemic diarrhea virus isolate CH/JX2101 spike protein (S) gene, complete cds
OQ122105.1 Porcine epidemic diarrhea virus isolate FJLY/2021 spike protein (S) gene, complete cds
MZ161033.1 Porcine epidemic diarrhea virus strain CH/JSJH/10/2020 spike protein (S) gene, complete cds
PV609800.1 Porcine epidemic diarrhea virus isolate PEDV LZ2401 spike protein (S) gene, partial cds
PV146395.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW34/2023 S protein (S) gene, partial cds
PV146397.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW36/2023 S protein (S) gene, partial cds
PV641632.1 Porcine epidemic diarrhea virus isolate PEDV CD2404 spike protein (S) gene, complete cds
PV614330.1 Porcine epidemic diarrhea virus isolate SN2401 spike protein (S) gene, partial cds
PV641626.1 Porcine epidemic diarrhea virus isolate PEDV ZY2402 spike protein (S) gene, partial cds
OR085311.1 Porcine epidemic diarrhea virus isolate PEDV-HuNYF2-2022, complete genome
OR085309.1 Porcine epidemic diarrhea virus isolate PEDV-HuNYF4-2022, complete genome
OR085310.1 Porcine epidemic diarrhea virus isolate PEDV-HuNYF3-2022, complete genome
PV844370.1 Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
PV536106.1 Porcine epidemic diarrhea virus isolate PEDV-NMBB15-2023, partial genome
OR085300.1 Porcine epidemic diarrhea virus isolate PEDV-NMBB1-2023, complete genome
PP901935.1 Porcine epidemic diarrhea virus isolate PEDV/CN/JLTH spike protein (S) gene, partial cds
PV036769.1 Porcine epidemic diarrhea virus isolate HLJ5, complete genome
MZ161023.1 Porcine epidemic diarrhea virus strain CH/GXDX/10/2020 spike protein (S) gene, complete cds
OR479079.1 Porcine epidemic diarrhea virus isolate CH/JX2201 spike protein (S) gene, complete cds
MZ161025.1 Porcine epidemic diarrhea virus strain CH/HBSZ/10/2020 spike protein (S) gene, complete cds
MZ161035.1 Porcine epidemic diarrhea virus strain CH/AHLA/10/2020 spike protein (S) gene, complete cds
MZ161036.1 Porcine epidemic diarrhea virus strain CH/SCLZ/09/2020 spike protein (S) gene, complete cds
PV536080.1 Porcine epidemic diarrhea virus isolate PEDV-GDYL30-2022, partial genome
PV536081.1 Porcine epidemic diarrhea virus isolate PEDV-GDYL9-2022, partial genome
OR479076.1 Porcine epidemic diarrhea virus isolate CH/GX2201 spike protein (S) gene, complete cds
MZ364314.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/2373/2018, complete genome
MZ161059.1 Porcine epidemic diarrhea virus strain CH/HNLY/03/2020 spike protein (S) gene, complete cds
OP374021.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/Guizhou/Sinder202206-2 spike gene, complete cds
MZ161018.1 Porcine epidemic diarrhea virus strain CH/HBXT/11/2020 spike protein (S) gene, complete cds
OR085299.1 Porcine epidemic diarrhea virus isolate PEDV-NMCL2-2022, complete genome
MZ161024.1 Porcine epidemic diarrhea virus strain CH/HBBX/10/2020 spike protein (S) gene, complete cds
MZ161030.1 Porcine epidemic diarrhea virus strain CH/AHBZ/10/2020 spike protein (S) gene, complete cds
MZ161034.1 Porcine epidemic diarrhea virus strain CH/SCPZ/10/2020 spike protein (S) gene, complete cds
OQ349221.1 Porcine epidemic diarrhea virus isolate JSyj10 spike protein (S) gene, partial cds
PX652413.1 Porcine epidemic diarrhea virus strain P2C spike protein (S) gene, complete cds
OR085298.1 Porcine epidemic diarrhea virus isolate PEDV-HeNNX12-2022, complete genome
OR001817.1 Porcine epidemic diarrhea virus isolate A22073101 spike protein (S) gene, complete cds
MZ161046.1 Porcine epidemic diarrhea virus strain CH/SCMY/06/2020 spike protein (S) gene, complete cds
OP972835.1 Porcine epidemic diarrhea virus isolate YNBS/2022, complete genome
MZ161014.1 Porcine epidemic diarrhea virus strain CH/GDYD/12/2020 spike protein (S) gene, complete cds
PQ284571.1 Porcine epidemic diarrhea virus isolate CH-SX1-2023 spike protein (S) gene, complete cds
PQ284572.1 Porcine epidemic diarrhea virus isolate CH-SX2-2023 spike protein (S) gene, complete cds
PP723328.1 Porcine epidemic diarrhea virus isolate CH/Guangdong-S/2022 spike protein (S) gene, complete cds
OP019333.1 Porcine epidemic diarrhea virus isolate PEDV/CH/BZ/2021 spike protein (S) gene, partial cds
ON248872.1 Porcine epidemic diarrhea virus strain PEDV/CN/Anhui/Sinder202109-1 spike protein gene, complete cds
OQ122103.1 Porcine epidemic diarrhea virus isolate HBXT/2021 spike protein (S) gene, complete cds
OR479073.1 Porcine epidemic diarrhea virus isolate CH/GD2201 spike protein (S) gene, complete cds
OQ122098.1 Porcine epidemic diarrhea virus isolate HBXG/2022 spike protein (S) gene, complete cds
ON571549.1 Porcine epidemic diarrhea virus isolate JS2021, complete genome
MZ161029.1 Porcine epidemic diarrhea virus strain CH/HBHS/10/2020 spike protein (S) gene, complete cds
OR479074.1 Porcine epidemic diarrhea virus isolate CH/GD2301 spike protein (S) gene, complete cds
OQ122111.1 Porcine epidemic diarrhea virus isolate JXGZ/2022 spike protein (S) gene, complete cds
MZ161022.1 Porcine epidemic diarrhea virus strain CH/HNXX/11/2020 spike protein (S) gene, complete cds
MZ161032.1 Porcine epidemic diarrhea virus strain CH/JSSQ/10/2020 spike protein (S) gene, complete cds
PV844369.1 Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
