KX532182.1 Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN412558.1 Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds
KU975403.1 Porcine epidemic diarrhea virus isolate CH-SCAY-1-2015 spike protein (S) gene, complete cds
KF294256.1 Porcine epidemic diarrhea virus isolate GJL spike protein (S) gene, complete cds
KY211073.1 Porcine epidemic diarrhea virus isolate ZMD10S spike protein gene, complete cds
KU133245.1 Porcine epidemic diarrhea virus isolate CH-SDJY-2012 spike protein (S) gene, complete cds
KC242905.1 Porcine epidemic diarrhea virus isolate FJ5-20128 spike protein gene, complete cds
KM406183.1 Porcine epidemic diarrhea virus strain PZ1406 S protein (S) gene, complete cds
MH991838.1 Porcine epidemic diarrhea virus strain M8-HA2017 S protein (S) gene, complete cds
KC210145.1 Porcine epidemic diarrhea virus strain AH2012, complete genome
KC787540.1 Porcine epidemic diarrhea virus isolate CH-HGC-01-2013 spike protein gene, complete cds
MH107322.1 Porcine epidemic diarrhea virus isolate GDS23, complete genome
KY075790.1 Porcine epidemic diarrhea virus strain LNdd1/2015 S protein (S) gene, complete cds
KY211069.1 Porcine epidemic diarrhea virus isolate ZMD5S nonfunctional spike protein gene, partial sequence
KU133264.1 Porcine epidemic diarrhea virus isolate CH-SDWF-2012 spike protein (S) gene, complete cds
MK656509.1 Porcine epidemic diarrhea virus strain QD1803-5 S protein gene, partial cds
MN368680.1 Porcine epidemic diarrhea virus isolate HBhg15 spike protein (S) gene, complete cds
KY211048.1 Porcine epidemic diarrhea virus isolate NY7S spike protein gene, complete cds
KC242899.1 Porcine epidemic diarrhea virus isolate HB1-20122 spike protein gene, complete cds
KP399617.1 Porcine epidemic diarrhea virus strain CH-SMC-08-2013 S protein (S) gene, complete cds
KP890336.1 Porcine epidemic diarrhea virus strain CH/HNYF/14, complete genome
KP870133.1 Porcine epidemic diarrhea virus isolate CH/GD-23/2014 spike protein (S) gene, complete cds
KM225241.1 Porcine epidemic diarrhea virus strain HN41 spike protein (S) gene, complete cds
KM225243.1 Porcine epidemic diarrhea virus strain HN27 spike protein (S) gene, complete cds
MN368674.1 Porcine epidemic diarrhea virus isolate GDsg15-3 spike protein (S) gene, complete cds
KY211071.1 Porcine epidemic diarrhea virus isolate ZMD8S nonfunctional spike protein gene, partial sequence
MN412559.1 Porcine epidemic diarrhea virus strain HN-HB2/2018 S protein (S) gene, complete cds
KR296676.1 Porcine epidemic diarrhea virus strain CH-WTC-02-2015 S protein (S) gene, complete cds
MG020554.1 Porcine epidemic diarrhea virus isolate CH-ZJQZ-1-2016 spike protein (S) gene, complete cds
KF840545.1 Porcine epidemic diarrhea virus isolate CH/JXJDZ-F/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KY775051.1 Porcine epidemic diarrhea virus isolate HBEZ1 spike protein (S) gene, complete cds
KP698751.1 Porcine epidemic diarrhea virus isolate GD1 spike gene, complete cds
KC242909.1 Porcine epidemic diarrhea virus isolate GD5-20129 spike protein gene, complete cds
MN612071.1 Porcine epidemic diarrhea virus strain CH-SX-CZ01 spike protein gene, complete cds
MN893424.1 Porcine epidemic diarrhea virus isolate CH-HNZK-3-2018 spike glycoprotein gene, complete cds
KY211038.1 Porcine epidemic diarrhea virus isolate JZ1S spike protein gene, complete cds
KF761675.1 Porcine epidemic diarrhea virus strain CH/YNKM-8/2013, complete genome
MH991825.1 Porcine epidemic diarrhea virus strain A1-HB2016 S protein (S) gene, complete cds
KF177255.1 Porcine epidemic diarrhea virus isolate JY6C spike protein (S) gene, complete cds
MG198648.1 Porcine epidemic diarrhea virus isolate JSLYG1603 spike protein gene, complete cds
KY211072.1 Porcine epidemic diarrhea virus isolate ZMD9S nonfunctional spike protein gene, partial sequence
KU133240.1 Porcine epidemic diarrhea virus isolate CH-SDDZ-2012 spike protein (S) gene, complete cds
MK533004.1 Porcine epidemic diarrhea virus strain N13-GD2017 spike protein (S) gene, complete cds
MH726374.1 Porcine epidemic diarrhea virus isolate GDS11, complete genome
KF840553.1 Porcine epidemic diarrhea virus isolate CH/ZJHZ-1C/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KF738263.1 Porcine epidemic diarrhea virus strain SH121229 spike protein gene, complete cds
KT266578.1 Porcine epidemic diarrhea virus isolate HB-HA2015 spike glycoprotein gene, complete cds
MH726367.1 Porcine epidemic diarrhea virus isolate GDS26, complete genome
OQ349205.1 Porcine epidemic diarrhea virus isolate FJ1401 spike protein (S) gene, complete cds
KT989360.1 Porcine epidemic diarrhea virus isolate CH-HNJZ-14.8 spike protein gene, complete cds
KY211055.1 Porcine epidemic diarrhea virus isolate XC2S spike protein gene, complete cds
KY211040.1 Porcine epidemic diarrhea virus isolate LH2S spike protein gene, complete cds
OR365278.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
JX018182.1 Porcine epidemic diarrhea virus isolate CH/AHHF-2/2012 spike protein gene, complete cds
MK532985.1 Porcine epidemic diarrhea virus strain B3-HB2017 spike protein (S) gene, complete cds
KP698765.2 Porcine epidemic diarrhea virus isolate GD15 spike gene, complete cds
JQ638916.1 Porcine epidemic diarrhea virus strain CH/HLJHH/2011 spike glycoprotein S2 (S) gene, complete cds
OR365274.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P90 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
MF152605.1 Porcine epidemic diarrhea virus strain CH/SXXY/2017 spike protein gene, complete cds
OR090888.1 Porcine epidemic diarrhea virus isolate PEDV/CH/XA/2020, complete genome
KY211056.1 Porcine epidemic diarrhea virus isolate XX1S spike protein gene, complete cds
KF840555.1 Porcine epidemic diarrhea virus isolate CH/JXJDZ-1/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OR085281.1 Porcine epidemic diarrhea virus isolate PEDV-AHWH8-2022, complete genome
MN612070.1 Porcine epidemic diarrhea virus strain CH-AH-HX122 spike protein gene, complete cds
PV523955.1 Porcine epidemic diarrhea virus isolate ZJ01-01-CN_2022 spike protein (S) gene, complete cds
KP698770.1 Porcine epidemic diarrhea virus isolate GD20 spike gene, complete cds
JN825707.1 Porcine epidemic diarrhea virus isolate HB-2011-1 spike protein (S) mRNA, complete cds
KY775039.1 Porcine epidemic diarrhea virus isolate HBJZ2 spike protein (S) gene, complete cds
KY075782.1 Porcine epidemic diarrhea virus strain LNfx1/2014 S protein (S) gene, complete cds
JQ627654.1 Porcine epidemic diarrhea virus strain CH/CG/11 spike protein gene, complete cds
KU975409.1 Porcine epidemic diarrhea virus isolate CH-SCJT-2015 spike protein (S) gene, complete cds
ON417003.1 Porcine epidemic diarrhea virus isolate JS2019-4 spike protein gene, complete cds
KF453512.1 Porcine epidemic diarrhea virus isolate HB121229 S protein gene, partial cds
KM609207.1 Porcine epidemic diarrhea virus strain PEDV-14, complete genome
OQ122102.1 Porcine epidemic diarrhea virus isolate JXYC/2021 spike protein (S) gene, complete cds
MH726364.1 Porcine epidemic diarrhea virus isolate GDS17, complete genome
PP906229.1 Porcine epidemic diarrhea virus strain HB-HG spike protein gene, complete cds
JX435298.1 Porcine epidemic diarrhea virus isolate BJ-2011-3 spike protein (S) mRNA, complete cds
KU975422.1 Porcine epidemic diarrhea virus isolate CH-SCZG-2015 spike protein (S) gene, complete cds
KY211053.1 Porcine epidemic diarrhea virus isolate PDS2S spike protein gene, complete cds
KP870141.1 Porcine epidemic diarrhea virus isolate CH/GD-09/2013 spike protein (S) gene, partial cds
MG198668.1 Porcine epidemic diarrhea virus isolate SCHC1508 spike protein gene, complete cds
JQ638917.1 Porcine epidemic diarrhea virus strain CH/SDLY/2011 spike glycoprotein S2 (S) gene, complete cds
KP870134.1 Porcine epidemic diarrhea virus isolate CH/GD-24/2014 spike protein (S) gene, complete cds
KU975418.1 Porcine epidemic diarrhea virus isolate CH-SCXC-1-2015 spike protein (S) gene, complete cds
KM406180.1 Porcine epidemic diarrhea virus strain DY1403 S protein (S) gene, complete cds
KY211060.1 Porcine epidemic diarrhea virus isolate XY4S nonfunctional spike protein gene, partial sequence
KF840561.1 Porcine epidemic diarrhea virus isolate CH/JSZL-S2/2013 spike protein (S) gene, complete cds
KY211039.1 Porcine epidemic diarrhea virus isolate LH1S spike protein gene, complete cds
KM406181.1 Porcine epidemic diarrhea virus strain SH1404 S protein (S) gene, complete cds
KF453514.1 Porcine epidemic diarrhea virus isolate SH120301 S protein gene, partial cds
JN825706.1 Porcine epidemic diarrhea virus isolate BJ-2011-2 spike protein (S) mRNA, complete cds
PX652412.1 Porcine epidemic diarrhea virus strain WH2 spike protein (S) gene, complete cds
OP784565.1 Porcine epidemic diarrhea virus isolate PEDV HNCADA-2017, complete genome
KX580953.1 Porcine epidemic diarrhea virus strain KB2013-4, complete genome
JQ638919.1 Porcine epidemic diarrhea virus strain CH/SDQD/2011 spike glycoprotein S2 (S) gene, complete cds
KM609211.1 Porcine epidemic diarrhea virus strain PEDV-LS, complete genome
PP395578.1 Porcine epidemic diarrhea virus strain SC2021MY spike protein (S) gene, complete cds
KF840543.1 Porcine epidemic diarrhea virus isolate CH/ZJXS212/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein, and nucleocapsid protein (N) genes, complete cds
KY075784.1 Porcine epidemic diarrhea virus strain LNsy1/2015 S protein (S) gene, complete cds
KR095279.1 Porcine epidemic diarrhea virus strain CH/HNQX-3/14, complete genome
OQ349201.1 Porcine epidemic diarrhea virus isolate SHdt3(2021), complete genome
KU133246.1 Porcine epidemic diarrhea virus isolate CH-SDLQ-2015 spike protein (S) gene, complete cds
KP399633.1 Porcine epidemic diarrhea virus strain CH-SBC-12-2011 S protein (S) gene, complete cds
JX242461.1 Porcine epidemic diarrhea virus isolate CH-ZWC-12-2011 spike protein gene, partial cds
KM609208.1 Porcine epidemic diarrhea virus strain PEDV-15F, complete genome
KF294255.1 Porcine epidemic diarrhea virus isolate HZXS-2 spike protein (S) gene, complete cds
KY211057.1 Porcine epidemic diarrhea virus isolate XY1S spike protein gene, complete cds
KF840547.1 Porcine epidemic diarrhea virus isolate CH/JXZS-3L spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
PV523951.1 Porcine epidemic diarrhea virus isolate HLJ01-12-CN_2021 spike protein (S) gene, complete cds
KU133265.1 Porcine epidemic diarrhea virus isolate CH-SDWF-2015 spike protein (S) gene, complete cds
KC787544.1 Porcine epidemic diarrhea virus isolate CH-YGC-12-2012 spike protein gene, partial cds
MH053415.1 Porcine epidemic diarrhea virus isolate CH/SCTJ/2017 spike protein (S) gene, complete cds
JN825712.1 Porcine epidemic diarrhea virus isolate BJ-2011-1, complete genome
MN612073.1 Porcine epidemic diarrhea virus strain CH-SD-WF01 spike protein gene, complete cds
KJ646581.1 Porcine epidemic diarrhea virus strain FJ-FQ1 2012 spike protein (S) gene, complete cds
KU975406.1 Porcine epidemic diarrhea virus isolate CH-SCCD-2014 spike protein (S) gene, complete cds
KX073610.1 Porcine epidemic diarrhea virus isolate GZMR S protein (S) gene, complete cds
MN721365.1 Porcine epidemic diarrhea virus isolate CH-GZ-GY254 spike protein gene, complete cds
KX066126.1 Porcine epidemic diarrhea virus strain BJ-2011-C, complete genome
MF038009.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-05-2 spike glycoprotein (S) gene, complete cds
KF840550.1 Porcine epidemic diarrhea virus isolate CH/SDZD-2/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MH726377.1 Porcine epidemic diarrhea virus isolate GDS29, complete genome
KR233257.1 Porcine epidemic diarrhea virus strain CH/NMG/BYNE S protein gene, complete cds
KY775049.1 Porcine epidemic diarrhea virus isolate HBHG6 spike protein (S) gene, complete cds
KT239521.1 UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-2 spike protein-like gene, complete sequence
MG132636.1 Porcine epidemic diarrhea virus isolate HB16022 spike protein mRNA, complete cds
PV523953.1 Porcine epidemic diarrhea virus isolate SD03-11-CN_2021 spike protein (S) gene, complete cds
KF840542.1 Porcine epidemic diarrhea virus isolate CH/JXZS-2H/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein genes, complete cds
MN368662.1 Porcine epidemic diarrhea virus isolate JXyc15 spike protein (S) gene, complete cds
KP870126.1 Porcine epidemic diarrhea virus isolate CH/GD-16/2013 spike protein (S) gene, complete cds
KT989359.1 Porcine epidemic diarrhea virus isolate CH-HNXC-14.9 spike protein gene, complete cds
KM225244.1 Porcine epidemic diarrhea virus strain HN40 spike protein (S) gene, complete cds
OR085284.1 Porcine epidemic diarrhea virus isolate PEDV-AHWH1-2022, complete genome
KR514318.1 Porcine epidemic diarrhea virus isolate CH/NMG/CF spike protein gene, complete cds
KF546801.1 Porcine epidemic diarrhea virus isolate GDQY/2011 spike protein (S) gene, complete cds
KR296664.1 Porcine epidemic diarrhea virus strain CH-GLC-02-2015 S protein (S) gene, complete cds
JX501323.1 Porcine epidemic diarrhea virus isolate CH/XCYL/11 spike glycoprotein gene, complete cds
MK796238.1 Porcine epidemic diarrhea virus strain CN/Liaoning25/2018, complete genome
JX242459.1 Porcine epidemic diarrhea virus isolate CH-SONGB-12-2011 spike protein gene, partial cds
JQ517274.1 Porcine epidemic diarrhea virus isolate HuN spike protein (S) gene, complete cds
KT388416.1 Porcine epidemic diarrhea virus isolate CH-STC-2014 spike glycoprotein gene, complete cds
PP923928.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1404/China/2014/Yunnan spike protein-like gene, partial sequence
MN412568.1 Porcine epidemic diarrhea virus strain HN-PY/2016 S protein (S) gene, complete cds
MH244927.1 Porcine epidemic diarrhea virus strain QY2016 S protein (S) gene, complete cds
KU975416.1 Porcine epidemic diarrhea virus isolate CH-SCNC-3-2015 spike protein (S) gene, complete cds
MG020544.1 Porcine epidemic diarrhea virus isolate CH-JSYC-1-2016 spike protein (S) gene, complete cds
KU237213.1 UNVERIFIED: Porcine epidemic diarrhea virus strain CG S protein (S) gene, complete cds
MF038008.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-05-1 spike glycoprotein (S) gene, complete cds
KC787545.1 Porcine epidemic diarrhea virus isolate CH-YXC-01-2013 spike protein gene, partial cds
PP723329.1 Porcine epidemic diarrhea virus isolate CH/Shanxi-G/2022 spike protein (S) gene, complete cds
ON058990.1 Porcine epidemic diarrhea virus strain SCLSSWUN02 spike protein (S), complete cds
PQ284569.1 Porcine epidemic diarrhea virus isolate CH-HNNY-2022 spike protein (S) gene, complete cds
MG198643.1 Porcine epidemic diarrhea virus isolate JS-D-1503 spike protein gene, complete cds
MH061342.1 Porcine epidemic diarrhea virus strain CH/SCZJ/2018, complete genome
PP923931.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1503/China/2015/Yunnan spike protein-like gene, partial sequence
OQ349204.1 Porcine epidemic diarrhea virus isolate FJ1312 spike protein (S) gene, complete cds
MW478768.1 Porcine epidemic diarrhea virus isolate GDsg09 spike protein (S) gene, complete cds
KT989361.1 Porcine epidemic diarrhea virus isolate CH-HNJZ-14.11 spike protein gene, complete cds
MG198669.1 Porcine epidemic diarrhea virus isolate SCLC1405 spike protein gene, complete cds
KC242897.1 Porcine epidemic diarrhea virus isolate FJZZ1-2011 spike protein gene, complete cds
KU237234.1 Porcine epidemic diarrhea virus strain YZ2 S protein (S) gene, complete cds
OL855979.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX02-2015 sequence
KJ646591.1 Porcine epidemic diarrhea virus strain FJ-ZP 2014 spike protein (S) gene, complete cds
PV523945.1 Porcine epidemic diarrhea virus isolate AH04-12-CN_2021 spike protein (S) gene, complete cds
MK656504.1 Porcine epidemic diarrhea virus strain JN1806-23 S protein gene, partial cds
MN612069.1 Porcine epidemic diarrhea virus strain CH-MDJ-NA03 spike protein gene, complete cds
KU237216.1 Porcine epidemic diarrhea virus strain DF3 S protein (S) gene, complete cds
KY607767.1 Porcine epidemic diarrhea virus isolate JS201603 spike protein gene, complete cds
KU975411.1 Porcine epidemic diarrhea virus isolate CH-SCMY-2-2014 spike protein (S) gene, complete cds
KU237228.1 Porcine epidemic diarrhea virus strain SS S protein (S) gene, complete cds
OR992087.1 Porcine epidemic diarrhea virus isolate CH/FST-S/2017 spike protein (S) gene, complete cds
JQ771752.1 Porcine epidemic diarrhea virus strain ZB S protein mRNA, complete cds
KF468755.1 Porcine epidemic diarrhea virus isolate XS2013 spike protein (S) gene, complete cds
KP698756.2 Porcine epidemic diarrhea virus isolate GD6 spike gene, complete cds
KC242907.1 Porcine epidemic diarrhea virus isolate JX4-20129 spike protein gene, complete cds
PV609798.1 Porcine epidemic diarrhea virus isolate PEDV GY2401 spike protein (S) gene, complete cds
OR707084.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate HN2021, complete genome
MN368724.1 Porcine epidemic diarrhea virus isolate GDzj18-1 spike protein (S) gene, complete cds
PV167811.1 Porcine epidemic diarrhea virus isolate FJPT-10 spike protein (S) gene, complete cds
KF294254.1 Porcine epidemic diarrhea virus isolate HZXS-1 spike protein (S) gene, complete cds
OR365275.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3d-P120 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
PV164727.1 Porcine epidemic diarrhea virus isolate PEDV ZJ23SX0401-01 spike protein (S) gene, complete cds
KP399620.1 Porcine epidemic diarrhea virus strain CH-SBC-01-2013 S protein (S) gene, complete cds
PV523948.1 Porcine epidemic diarrhea virus isolate GX05-11-CN_2022 spike protein (S) gene, complete cds
ON075821.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SXYC, complete genome
OQ723792.1 Porcine epidemic diarrhea virus isolate PEDV CHGS20 spike protein gene, complete cds
MN368675.1 Porcine epidemic diarrhea virus isolate GDzq15-1 spike protein (S) gene, complete cds
MN612072.1 Porcine epidemic diarrhea virus strain CH-HeB-XT01 spike protein gene, complete cds
KF577732.1 Porcine epidemic diarrhea virus isolate GDGZ/2013 spike protein (S) gene, complete cds
KP399630.1 Porcine epidemic diarrhea virus strain CH-LNC-12-2012 S protein (S) gene, complete cds
KY075788.1 Porcine epidemic diarrhea virus strain LNyk1/2015 S protein (S) gene, complete cds
MF038010.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-05-3 spike glycoprotein (S) gene, complete cds
MH726373.1 Porcine epidemic diarrhea virus isolate GDS13, complete genome
MH726378.1 Porcine epidemic diarrhea virus isolate GDS34, complete genome
KF760557.2 Porcine epidemic diarrhea virus strain CH/JX-1/2013, complete genome
KR818832.1 Porcine epidemic diarrhea virus strain XY2013, complete genome
KX812523.1 Porcine epidemic diarrhea virus isolate XM1-2, complete genome
